letter,input_days,output_days,experiment_name,weighted_metric
M,30,1,8_M_exp8,0.013110302584735969
M,30,1,8_M_exp32,0.0128389644173629
M,30,1,8_M_exp64,0.014638796083308292
M,30,7,8_M_exp8,0.01603145474505624
M,30,7,8_M_exp32,0.01136081254457315
M,30,7,8_M_exp64,0.009509393967616785
M,60,1,8_M_exp8,0.013249894387966565
M,60,1,8_M_exp32,0.012755180332524497
M,60,1,8_M_exp64,0.013299001969004931
M,60,7,8_M_exp8,0.015774953771721233
M,60,7,8_M_exp32,0.011249666536699213
M,60,7,8_M_exp64,0.009500145303914279
