letter,input_days,output_days,experiment_name,weighted_metric
J,30,1,8_J_exp8,0.014524494618640848
J,30,1,8_J_exp32,0.014061865133888412
J,30,1,8_J_exp64,0.017172125947960255
J,30,7,8_J_exp8,0.016323965648857602
J,30,7,8_J_exp32,0.011439569864832043
J,30,7,8_J_exp64,0.010460655129198252
J,60,1,8_J_exp8,0.012883685914683713
J,60,1,8_J_exp32,0.01303281113237998
J,60,1,8_J_exp64,0.018204829751393585
J,60,7,8_J_exp8,0.015739603627597888
J,60,7,8_J_exp32,0.011186903583233437
J,60,7,8_J_exp64,0.009831632835050804
