letter,input_days,output_days,experiment_name,weighted_metric
V,30,1,8_V_exp8,0.01426181537166024
V,30,1,8_V_exp32,0.013987062017669517
V,30,1,8_V_exp64,0.016477064844488243
V,30,7,8_V_exp8,0.016136969123303035
V,30,7,8_V_exp32,0.011322496490080677
V,30,7,8_V_exp64,0.010128957201597507
V,60,1,8_V_exp8,0.013117467717191819
V,60,1,8_V_exp32,0.013109023368618848
V,60,1,8_V_exp64,0.01515413917663494
V,60,7,8_V_exp8,0.015520312466868086
V,60,7,8_V_exp32,0.011169549777355207
V,60,7,8_V_exp64,0.010171896729030109
