letter,input_days,output_days,experiment_name,weighted_metric
F,30,1,8_F_exp8,0.014242546552676334
F,30,1,8_F_exp32,0.013226306219652081
F,30,1,8_F_exp64,0.017062825329031386
F,30,7,8_F_exp8,0.014619282297522688
F,30,7,8_F_exp32,0.011413527199214226
F,30,7,8_F_exp64,0.010096593898092731
F,60,1,8_F_exp8,0.01292813309071737
F,60,1,8_F_exp32,0.013098279508855639
F,60,1,8_F_exp64,0.017824479688458038
F,60,7,8_F_exp8,0.014810244169567475
F,60,7,8_F_exp32,0.011480676556121932
F,60,7,8_F_exp64,0.010022502071692044
