letter,input_days,output_days,experiment_name,weighted_metric
I,30,1,11_I_exp8,0.749192800372839
I,30,1,11_I_exp32,0.7526004798710345
I,30,1,11_I_exp64,0.7545712168018023
I,30,7,11_I_exp8,0.7543340375026066
I,30,7,11_I_exp32,0.7557760365307331
I,30,7,11_I_exp64,0.755880900969108
I,60,1,11_I_exp8,0.7547178032497566
I,60,1,11_I_exp32,0.7522058722873527
I,60,1,11_I_exp64,0.7558743928869565
I,60,7,11_I_exp8,0.7548942913611729
I,60,7,11_I_exp32,0.7562421212593715
I,60,7,11_I_exp64,0.7607304826378823
