1,1,1,0,0,30,1,0.014075029641389847,0.014075029641389847,416017.75,0.08594322949647903,3287,126.89527463912964,lstm_H8,reg_H.v1.l1.ds1.l_combo0.ds_combo0.idays30.odays1,100
1,1,1,0,0,30,7,0.018440281972289085,0.018440283834934235,499581.65625,0.10019084066152573,3281,131.00749135017395,lstm_H8,reg_H.v1.l1.ds1.l_combo0.ds_combo0.idays30.odays7,100
1,1,1,0,0,60,1,0.015068776905536652,0.015068776905536652,133988.109375,0.08699821680784225,3257,115.03707504272461,lstm_H8,reg_H.v1.l1.ds1.l_combo0.ds_combo0.idays60.odays1,89
1,1,1,0,0,60,7,0.01822858490049839,0.01822858303785324,405589.15625,0.09795615822076797,3251,134.08672833442688,lstm_H8,reg_H.v1.l1.ds1.l_combo0.ds_combo0.idays60.odays7,100
1,1,1,1,0,30,1,0.01412156317383051,0.01412156317383051,137421.765625,0.08371315151453018,2706,106.21226358413696,lstm_H8,reg_H.v1.l1.ds1.l_combo1.ds_combo0.idays30.odays1,100
1,1,1,1,0,30,7,0.01831519789993763,0.018315201625227928,219107.4375,0.09879907965660095,2700,108.90973949432373,lstm_H8,reg_H.v1.l1.ds1.l_combo1.ds_combo0.idays30.odays7,100
1,1,1,1,0,60,1,0.013890120200812817,0.013890120200812817,399227.53125,0.0842394009232521,2676,107.44100141525269,lstm_H8,reg_H.v1.l1.ds1.l_combo1.ds_combo0.idays60.odays1,100
1,1,1,1,0,60,7,0.017897706478834152,0.017897704616189003,150994.171875,0.09787680953741074,2670,111.32785964012146,lstm_H8,reg_H.v1.l1.ds1.l_combo1.ds_combo0.idays60.odays7,100
1,1,1,2,0,30,1,0.012111175805330276,0.012111175805330276,971619.6875,0.08007734268903732,3272,127.56472086906433,lstm_H8,reg_H.v1.l1.ds1.l_combo2.ds_combo0.idays30.odays1,100
1,1,1,2,0,30,7,0.015455183573067188,0.015455181710422039,733397.25,0.09215229004621506,3266,130.67949604988098,lstm_H8,reg_H.v1.l1.ds1.l_combo2.ds_combo0.idays30.odays7,100
1,1,1,2,0,60,1,0.011216959916055202,0.011216959916055202,762953.875,0.07743022590875626,3242,128.8036026954651,lstm_H8,reg_H.v1.l1.ds1.l_combo2.ds_combo0.idays60.odays1,100
1,1,1,2,0,60,7,0.015851985663175583,0.015851983800530434,761749.8125,0.09218739718198776,3236,133.21432948112488,lstm_H8,reg_H.v1.l1.ds1.l_combo2.ds_combo0.idays60.odays7,100
1,1,1,3,0,30,1,0.011797035112977028,0.011797035112977028,96734.34375,0.07639068365097046,3389,133.16117572784424,lstm_H8,reg_H.v1.l1.ds1.l_combo3.ds_combo0.idays30.odays1,100
1,1,1,3,0,30,7,0.015609159134328365,0.015609160996973515,311423.09375,0.09019357711076736,3383,138.024178981781,lstm_H8,reg_H.v1.l1.ds1.l_combo3.ds_combo0.idays30.odays7,100
1,1,1,3,0,60,1,0.011846468783915043,0.011846468783915043,115860.8671875,0.07702575623989105,3359,132.97025752067566,lstm_H8,reg_H.v1.l1.ds1.l_combo3.ds_combo0.idays60.odays1,100
1,1,1,3,0,60,7,0.01614375412464142,0.01614375226199627,144446.671875,0.09140586107969284,3353,136.93612837791443,lstm_H8,reg_H.v1.l1.ds1.l_combo3.ds_combo0.idays60.odays7,100
1,1,1,4,0,30,1,0.013153749518096447,0.013153749518096447,887150.0,0.08064829558134079,3378,129.9149296283722,lstm_H8,reg_H.v1.l1.ds1.l_combo4.ds_combo0.idays30.odays1,100
1,1,1,4,0,30,7,0.017073331400752068,0.017073333263397217,1461608.625,0.09456580877304077,3372,135.45929861068726,lstm_H8,reg_H.v1.l1.ds1.l_combo4.ds_combo0.idays30.odays7,100
1,1,1,4,0,60,1,0.014293069019913673,0.014293069019913673,3304031.25,0.08426271378993988,3348,133.25599241256714,lstm_H8,reg_H.v1.l1.ds1.l_combo4.ds_combo0.idays60.odays1,100
1,1,1,4,0,60,7,0.017443833872675896,0.017443833872675896,2090454.25,0.0950397402048111,3342,137.23699951171875,lstm_H8,reg_H.v1.l1.ds1.l_combo4.ds_combo0.idays60.odays7,100
1,1,1,5,0,30,1,0.016440339386463165,0.016440339386463165,731022.125,0.08877621591091156,3390,133.23041033744812,lstm_H8,reg_H.v1.l1.ds1.l_combo5.ds_combo0.idays30.odays1,100
1,1,1,5,0,30,7,0.020280664786696434,0.020280664786696434,496967.1875,0.10248950123786926,3384,138.78751492500305,lstm_H8,reg_H.v1.l1.ds1.l_combo5.ds_combo0.idays30.odays7,100
1,1,1,5,0,60,1,0.017712857574224472,0.017712857574224472,847899.4375,0.09165989607572556,3360,132.60737013816833,lstm_H8,reg_H.v1.l1.ds1.l_combo5.ds_combo0.idays60.odays1,100
1,1,1,5,0,60,7,0.02069741301238537,0.02069741114974022,525838.25,0.10153455287218094,3354,137.76961183547974,lstm_H8,reg_H.v1.l1.ds1.l_combo5.ds_combo0.idays60.odays7,100
1,1,1,6,0,30,1,0.007424067240208387,0.007424067240208387,999023.25,0.057340189814567566,3392,133.5801010131836,lstm_H8,reg_H.v1.l1.ds1.l_combo6.ds_combo0.idays30.odays1,100
1,1,1,6,0,30,7,0.012792622670531273,0.012792620807886124,1179461.625,0.07717227935791016,3386,138.59244680404663,lstm_H8,reg_H.v1.l1.ds1.l_combo6.ds_combo0.idays30.odays7,100
1,1,1,6,0,60,1,0.007827979512512684,0.007827979512512684,20.014446258544922,0.05685579404234886,3362,132.33878779411316,lstm_H8,reg_H.v1.l1.ds1.l_combo6.ds_combo0.idays60.odays1,100
