,version,location_scheme,datastream_scheme,l_combo,ds_combo,input_days,output_days,loss,mse,binary_accuracy,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs,network,letter,Max_or_Min
40,1.0,1.0,0.0,10.0,0.0,30.0,1.0,0.12332001328468326,0.12332001328468326,0.8260869383811951,0.6578947305679321,0.8333333134651184,50.0,121.0,26.0,10.0,2062.0,68.62030839920044,12_J_exp8,12_J.v1.l1.ds0.l_combo10.ds_combo0.idays30.odays1,46.0,Network 2,J,Min
24,1.0,1.0,0.0,6.0,0.0,30.0,1.0,0.04936772584915161,0.04936772584915161,0.9441176652908324,0.8904109597206116,0.8552631735801697,65.0,256.0,8.0,11.0,3392.0,196.2096567153931,12_J_exp8,12_J.v1.l1.ds0.l_combo6.ds_combo0.idays30.odays1,82.0,Network 2,J,Max
144,1.0,1.0,0.0,6.0,0.0,30.0,1.0,0.046808533370494836,0.046808533370494836,0.9441176652908324,0.8219178318977356,0.9090909361839294,60.0,261.0,13.0,6.0,3392.0,94.78350734710692,12_J_exp64,12_J.v1.l1.ds0.l_combo6.ds_combo0.idays30.odays1,39.0,Network 2,J,Max
109,1.0,1.0,0.0,12.0,0.0,30.0,7.0,0.1096855252981186,0.1096855252981186,0.8292476534843445,0.6481714844703674,0.8043818473815918,514.0,1448.0,279.0,125.0,3379.0,160.87858033180237,12_V_exp32,12_V.v1.l1.ds0.l_combo12.ds_combo0.idays30.odays7,67.0,Network 3,V,Min
140,1.0,1.0,0.0,5.0,0.0,30.0,1.0,0.03878908231854439,0.03878908231854439,0.9557521939277648,0.8823529481887817,0.5357142686843872,15.0,309.0,2.0,13.0,3390.0,147.9912264347076,12_V_exp64,12_V.v1.l1.ds0.l_combo5.ds_combo0.idays30.odays1,62.0,Network 3,V,Max
