letter,input_days,output_days,experiment_name,weighted_metric
V,30,1,21_V_exp8,0.6527518649399119
V,30,1,21_V_exp32,0.7053810796840786
V,30,1,21_V_exp64,0.7255484708562759
V,30,7,21_V_exp8,0.5975136833239659
V,30,7,21_V_exp32,0.5826816758634178
V,30,7,21_V_exp64,0.5809652815424242
V,60,1,21_V_exp8,0.6496723492165644
V,60,1,21_V_exp32,0.6979261002038059
V,60,1,21_V_exp64,0.6869567184383389
V,60,7,21_V_exp8,0.6180963856510431
V,60,7,21_V_exp32,0.6192376623888151
V,60,7,21_V_exp64,0.5943395066742229
