,version,location_scheme,datastream_scheme,l_combo,ds_combo,input_days,output_days,loss,mse,mape,mae,dataset_size,training_time,experiment_name,dataset_name,epochs,network,letter,Max_or_Min
10,1.0,0.0,0.0,0.0,2.0,60.0,1.0,0.011452093720436094,0.011452093720436094,77570.015625,0.0753464624285698,2032.0,41.62506437301636,7_G_exp64,7_G.v1.l0.ds0.l_combo0.ds_combo1.idays60.odays1,51.0,Network 2,G,Min
3,1.0,0.0,0.0,0.0,2.0,60.0,7.0,0.016682226210832596,0.016682226210832596,580388.9375,0.0929110422730446,2026.0,85.03470849990846,7_G_exp8,7_G.v1.l0.ds0.l_combo0.ds_combo1.idays60.odays7,100.0,Network 2,G,Max
6,1.0,0.0,0.0,0.0,2.0,60.0,1.0,0.011510208249092102,0.011510208249092102,261752.046875,0.07507244497537613,2032.0,52.99151396751404,7_W_exp32,7_W.v1.l0.ds0.l_combo0.ds_combo1.idays60.odays1,64.0,Network 3,W,Min
1,1.0,0.0,0.0,0.0,2.0,30.0,7.0,0.017723243683576584,0.017723243683576584,506821.5,0.09632840007543564,2056.0,64.82092452049254,7_W_exp8,7_W.v1.l0.ds0.l_combo0.ds_combo1.idays30.odays7,77.0,Network 3,W,Max
