,letter,input_days,output_days,experiment_name,weighted_metric,mean_metric,min_or_max
1,J,30,1,7_J_exp32,0.012850881696781188,0.014808601555317949,Min
9,J,60,7,7_J_exp8,0.017024900082445317,0.014808601555317949,Max
2,V,30,1,7_V_exp64,0.012904294031231028,0.01477386481559388,Min
9,V,60,7,7_V_exp8,0.017035682124206038,0.01477386481559388,Max
8,G,60,1,7_G_exp64,0.011452093720436094,0.014108201411242286,Min
9,G,60,7,7_G_exp8,0.016682226210832596,0.014108201411242286,Max
7,T,60,1,7_T_exp32,0.011771902441978456,0.014256525163849195,Min
3,T,30,7,7_T_exp8,0.01726874522864819,0.014256525163849195,Max
7,W,60,1,7_W_exp32,0.011510208249092102,0.01453680987469852,Min
3,W,30,7,7_W_exp8,0.017723243683576584,0.01453680987469852,Max
