,A,N,W,Y,AB
A,[1],0.1583732208786255,0.024848694666530776,0.09276622192069808,0.19961013485838397
N,0.1583732208786255,[1],0.07694621771310202,0.7093421839849126,0.6038220149837239
W,0.024848694666530776,0.07694621771310202,[1],0.4626340241898632,0.07335553229318001
Y,0.09276622192069808,0.7093421839849126,0.4626340241898632,[1],0.42991849367954704
AB,0.19961013485838397,0.6038220149837239,0.07335553229318001,0.42991849367954704,[1]
