letter,input_days,output_days,experiment_name,weighted_metric
B,30,1,4_B_exp8,0.016760150837406763
B,30,1,4_B_exp32,0.016780583070544135
B,30,1,4_B_exp64,0.016903468360733084
B,30,7,4_B_exp8,0.018077317020707143
B,30,7,4_B_exp32,0.017728454801214842
B,30,7,4_B_exp64,0.017012066395655896
B,60,1,4_B_exp8,0.016616961754420224
B,60,1,4_B_exp32,0.016307788897117897
B,60,1,4_B_exp64,0.01668192960415818
B,60,7,4_B_exp8,0.017855924381991895
B,60,7,4_B_exp32,0.017478444934392174
B,60,7,4_B_exp64,0.0169043716927599
