letter,input_days,output_days,experiment_name,weighted_metric
AI,30,1,4_AI_exp8,0.016683922967083063
AI,30,1,4_AI_exp32,0.016901196178221025
AI,30,1,4_AI_exp64,0.018233493541782143
AI,30,7,4_AI_exp8,0.018654877550806068
AI,30,7,4_AI_exp32,0.016519673389750494
AI,30,7,4_AI_exp64,0.01698787311217239
AI,60,1,4_AI_exp8,0.016593049335129124
AI,60,1,4_AI_exp32,0.016766304345879734
AI,60,1,4_AI_exp64,0.0166442497484699
AI,60,7,4_AI_exp8,0.017305944038617637
AI,60,7,4_AI_exp32,0.017162260540737575
AI,60,7,4_AI_exp64,0.017035004170220185
