letter,input_days,output_days,experiment_name,weighted_metric
T,30,1,18_T_exp8,0.013480148278176785
T,30,1,18_T_exp32,0.012592955492436886
T,30,1,18_T_exp64,0.01248167920857668
T,30,7,18_T_exp8,0.01796385645866394
T,30,7,18_T_exp32,0.01790129952132702
T,30,7,18_T_exp64,0.01793888583779335
T,60,1,18_T_exp8,0.013315664604306221
T,60,1,18_T_exp32,0.01273020263761282
T,60,1,18_T_exp64,0.012660463340580463
T,60,7,18_T_exp8,0.018683526664972302
T,60,7,18_T_exp32,0.01769072748720646
T,60,7,18_T_exp64,0.0184440016746521
