,letter,input_days,output_days,experiment_name,weighted_metric,mean_metric,min_or_max
2,S,60,1,20_S_exp0.7,0.006277061998844147,0.00824854918755591,Min
3,S,60,7,20_S_exp0.7,0.010128045454621315,0.00824854918755591,Max
3,X,60,7,20_X_exp0.7,0.0065238894894719115,0.0087522161193192,Min
1,X,30,7,20_X_exp0.7,0.013705949299037457,0.0087522161193192,Max
1,AC,30,7,20_AC_exp0.7,0.0045391498133540145,0.007903469959273934,Min
0,AC,30,1,20_AC_exp0.7,0.009990387596189976,0.007903469959273934,Max
3,E,60,7,20_E_exp0.7,0.009370531596891744,0.020270153694077617,Min
1,E,30,7,20_E_exp0.7,0.03051540266826045,0.020270153694077617,Max
3,Z,60,7,20_Z_exp0.7,0.01940321885650915,0.025199689913783938,Min
1,Z,30,7,20_Z_exp0.7,0.029492749197577887,0.025199689913783938,Max
1,L,30,7,20_L_exp0.7,0.02804481283328206,0.03284599701097624,Min
0,L,30,1,20_L_exp0.7,0.037230925272863896,0.03284599701097624,Max
3,U,60,7,20_U_exp0.7,0.03358506628102735,0.04547159018749193,Min
2,U,60,1,20_U_exp0.7,0.05755092231579052,0.04547159018749193,Max
0,H,30,1,20_H_exp0.7,0.048747856237027334,0.05833475492096142,Min
3,H,60,7,20_H_exp0.7,0.06371916391120602,0.05833475492096142,Max
