,letter,input_days,output_days,experiment_name,weighted_metric
8,N,60,1,20_N_exp64,0.012342222034931185
1,Q,30,1,20_Q_exp32,0.013204100234300327
2,M,30,1,20_M_exp64,0.012982088076530032
