,letter,input_days,output_days,experiment_name,weighted_metric,mean_metric,min_or_max
8,F,60,1,20_F_exp64,0.013241613812913949,0.015868930607674678,Min
11,F,60,7,20_F_exp64,0.01856684912236755,0.015868930607674678,Max
1,Q,30,1,20_Q_exp32,0.013204100234300327,0.015726569574883286,Min
3,Q,30,7,20_Q_exp8,0.018017401855269614,0.015726569574883286,Max
8,AA,60,1,20_AA_exp64,0.013343453208991643,0.015786665303211513,Min
9,AA,60,7,20_AA_exp8,0.018446996538458684,0.015786665303211513,Max
2,J,30,1,20_J_exp64,0.013259681610114269,0.015895693976784118,Min
3,J,30,7,20_J_exp8,0.018480325808401032,0.015895693976784118,Max
2,M,30,1,20_M_exp64,0.012982088076530032,0.015570193799093746,Min
9,M,60,7,20_M_exp8,0.018079753929490683,0.015570193799093746,Max
2,V,30,1,20_V_exp64,0.01326554492739827,0.01586236595380398,Min
3,V,30,7,20_V_exp8,0.018362225091271996,0.01586236595380398,Max
8,G,60,1,20_G_exp64,0.012486199848353864,0.015640214861681063,Min
11,G,60,7,20_G_exp64,0.01887461543083191,0.015640214861681063,Max
8,N,60,1,20_N_exp64,0.012342222034931185,0.01531753681289653,Min
11,N,60,7,20_N_exp64,0.017891453579068184,0.01531753681289653,Max
8,T,60,1,20_T_exp64,0.01235926803201437,0.015537452030306062,Min
3,T,30,7,20_T_exp8,0.01850729249417782,0.015537452030306062,Max
8,W,60,1,20_W_exp64,0.01259972993284464,0.015411214670166373,Min
9,W,60,7,20_W_exp8,0.01817761547863484,0.015411214670166373,Max
8,Y,60,1,20_Y_exp64,0.01241206843405962,0.015157425620903572,Min
9,Y,60,7,20_Y_exp8,0.017593640834093094,0.015157425620903572,Max
2,AB,30,1,20_AB_exp64,0.012531602755188942,0.015279810720433792,Min
9,AB,60,7,20_AB_exp8,0.017795855179429054,0.015279810720433792,Max
7,AD,60,1,20_AD_exp32,0.012543129734694958,0.015549124606574575,Min
9,AD,60,7,20_AD_exp8,0.018483186140656468,0.015549124606574575,Max
