,letter,stdev base 8,stdev base 32,stdev base 64
0,F,0.012752939806397964,0.012708487685878645,0.0126920237579031
1,Q,0.013149049433012115,0.013138016428712736,0.01297432981844863
2,AA,0.013448862371178722,0.01293902094362707,0.01288261766414535
3,J,0.0029803530101216312,0.0030459890143047174,0.003217001150054483
4,M,0.0028665311485163497,0.003037236513887529,0.0029943602855374745
5,V,0.002958712725674647,0.0030412986867439156,0.003011405574509239
6,G,0.0031286390641976666,0.0032498817281698725,0.0033992765781064535
7,N,0.002168439908916663,0.0026891968526482914,0.002868340132443877
8,T,0.0030264280373789635,0.003128867364605665,0.0033503811287246927
9,W,0.0024104718576693834,0.002665401958171133,0.0027718156599043677
10,Y,0.002088299736038073,0.002622681971426377,0.0027500644944731065
11,AB,0.0022883960817004687,0.0027473078774332303,0.002697632788144811
12,AD,0.0028455752956519633,0.003208481098771762,0.0029614705793209292
