,letter,mean base 8,mean base 32,mean base 64
0,F,0.016859545168699697,0.01676624572428409,0.01673711159673985
1,Q,0.017056731710908934,0.016715868361643516,0.01670755552186165
2,AA,0.017128945473814383,0.016759642370743677,0.016695071666617878
3,J,0.016055560119760535,0.015608797843257586,0.015612208610400557
4,M,0.01580050204259654,0.015318170414927106,0.0152596553399538
5,V,0.01605682827842732,0.015610051046436032,0.015513125550933182
6,G,0.0159803896676749,0.015491502126678824,0.015448752790689468
7,N,0.015854443423449993,0.015029603615403175,0.015068563399836421
8,T,0.015849444782361388,0.015392086235806346,0.01537082507275045
9,W,0.01596384705044329,0.015182736329734325,0.015087060630321503
10,Y,0.015772960847243667,0.014866570942103863,0.014832745073363185
11,AB,0.015796814113855362,0.015171164646744728,0.014871453400701284
12,AD,0.01598691032268107,0.015417650109156966,0.01524281338788569
