letter,input_days,output_days,experiment_name,weighted_metric
N,30,1,3_N_exp8,0.013795230537652971
N,30,1,3_N_exp32,0.01257956586778164
N,30,1,3_N_exp64,0.01156217698007822
N,30,7,3_N_exp8,0.017450714483857155
N,30,7,3_N_exp32,0.015924934297800064
N,30,7,3_N_exp64,0.015255261212587357
N,60,1,3_N_exp8,0.012619830667972565
N,60,1,3_N_exp32,0.0119393365457654
N,60,1,3_N_exp64,0.013552198186516762
N,60,7,3_N_exp8,0.017338261008262634
N,60,7,3_N_exp32,0.016269288957118988
N,60,7,3_N_exp64,0.014668165706098081
