letter,input_days,output_days,experiment_name,weighted_metric
Y,30,1,19_Y_exp8,0.8149405769994186
Y,30,1,19_Y_exp32,0.8166528686440019
Y,30,1,19_Y_exp64,0.8348348181096108
Y,30,7,19_Y_exp8,0.7810032622758628
Y,30,7,19_Y_exp32,0.7343851099176217
Y,30,7,19_Y_exp64,0.7817721130931493
Y,60,1,19_Y_exp8,0.8306673865321781
Y,60,1,19_Y_exp32,0.8357460999810091
Y,60,1,19_Y_exp64,0.8450860614267484
Y,60,7,19_Y_exp8,0.7425015653381518
Y,60,7,19_Y_exp32,0.7938434479560659
Y,60,7,19_Y_exp64,0.7926921216114601
