,letter,mean base 8,mean base 32,mean base 64
0,D,0.014991322217673738,0.013461302638210453,0.012788926550048676
1,I,0.03445033254520867,0.03310025210395969,0.03418346227082456
2,C,0.015278267543180846,0.013944054444436915,0.016617051500361413
3,F,0.015600995713612065,0.013990501101943664,0.016121762193506584
4,Q,0.015433875800226815,0.015385086880996823,0.015051828508148901
5,AA,0.01607937237713486,0.013522247594664805,0.01599292893661186
6,B,0.013950547878630459,0.011406586637410026,0.011483144255665441
7,J,0.01504585169410954,0.012604930391535162,0.01473113230895251
8,M,0.014418082924870153,0.011924387297282617,0.011565891179877023
9,V,0.014927445879826943,0.012547465157695115,0.013089327615064879
10,A,0.014314190484583378,0.012998111313208938,0.01436477666720748
11,G,0.014554203255102038,0.012514623813331127,0.013088897336274385
12,N,0.015549092087894678,0.013395585119724274,0.012971090618520975
13,T,0.013878325000405312,0.012849090155214071,0.013889085501432419
14,W,0.014541344484314322,0.013151703868061304,0.014786306768655777
15,Y,0.014261852018535137,0.013462920440360904,0.014009478967636824
16,AB,0.014940858818590641,0.012784168822690845,0.013574375538155437
17,AD,0.013720488641411066,0.012753135757520795,0.014923123177140951
