,letter,mean base 8,mean base 32,mean base 64
0,D,0.019229244018450033,0.019269055797891736,0.018997325970747964
1,I,0.0478733732976929,0.04797055066000064,0.047635572212531646
2,C,0.02062104355233411,0.019693664042279124,0.018625587923452258
3,F,0.020366377973308165,0.019535239087417722,0.018744729226455092
4,Q,0.02006654643143217,0.019628322838495176,0.01917402388062328
5,AA,0.020194543680797022,0.019788227703732748,0.019017907208763063
6,AI,0.02074930793605745,0.019088493892922997,0.018486694898456335
7,B,0.015503090410493314,0.014613012271001934,0.01423584856869032
8,J,0.01609959766889612,0.01524809969899555,0.01506503860000521
9,M,0.015777484467253088,0.015062949364073574,0.014693947353710731
10,V,0.016029698060204586,0.015342752891592681,0.015216659692426523
11,AF,0.015675833689359327,0.015081822336651386,0.014711490335563819
12,A,0.016240406781435013,0.015224538976326585,0.014206792693585157
13,G,0.015482783084735274,0.014417534228414297,0.01433001714758575
14,N,0.015907531837001443,0.015150719555094838,0.014443027786910534
15,T,0.015454712556675076,0.015314255142584443,0.013713029911741614
16,W,0.01573127880692482,0.015401995508000255,0.014801478711888194
17,Y,0.016216809395700693,0.015150433173403144,0.014199163066223264
18,AB,0.016232437686994672,0.015437698690220714,0.014498524134978652
19,AD,0.01558760809712112,0.014810856431722641,0.01421920326538384
20,AG,0.015724387019872665,0.015563833992928267,0.015576415229588747
21,AJ,0.015717997448518872,0.014653512509539723,0.013607369037345052
