,letter,input_days,output_days,experiment_name,weighted_metric
7,A,60,1,5_A_exp32,0.011578206904232502
7,F,60,1,5_F_exp32,0.012343805043276436
8,B,60,1,5_B_exp64,0.012700139756132031
0,D,30,1,5_D_exp8,0.013352316909844113
