,letter,input_days,output_days,experiment_name,weighted_metric,mean_metric,min_or_max
3,D,30,7,13_D_exp8,0.7987812384963036,0.8136628320854572,Min
5,D,30,7,13_D_exp64,0.8379216976463795,0.8136628320854572,Max
3,I,30,7,13_I_exp8,0.7697335605820019,0.7867957586422563,Min
2,I,30,1,13_I_exp64,0.7984961122274399,0.7867957586422563,Max
9,C,60,7,13_C_exp8,0.8736414114634196,0.8958951433499655,Min
5,C,30,7,13_C_exp64,0.9165973265965781,0.8958951433499655,Max
6,F,60,1,13_F_exp8,0.8732026219367981,0.8999700893958408,Min
7,F,60,1,13_F_exp32,0.9141612251599631,0.8999700893958408,Max
8,Q,60,1,13_Q_exp64,0.8550108869870504,0.8911791129244699,Min
5,Q,30,7,13_Q_exp64,0.9047156771024067,0.8911791129244699,Max
3,AA,30,7,13_AA_exp8,0.8701803088188171,0.8899756355418099,Min
5,AA,30,7,13_AA_exp64,0.905763606230418,0.8899756355418099,Max
9,B,60,7,13_B_exp8,0.8892151713371277,0.9083579854832755,Min
5,B,30,7,13_B_exp64,0.9253105640411377,0.9083579854832755,Max
3,J,30,7,13_J_exp8,0.8681842486063639,0.8884781665272183,Min
2,J,30,1,13_J_exp64,0.904989246527354,0.8884781665272183,Max
3,M,30,7,13_M_exp8,0.8733240246772767,0.8859968655639224,Min
5,M,30,7,13_M_exp64,0.901145080725352,0.8859968655639224,Max
3,V,30,7,13_V_exp8,0.8695825616518656,0.8913399199644724,Min
11,V,60,7,13_V_exp64,0.9120189348856608,0.8913399199644724,Max
10,A,60,7,13_A_exp32,0.896270215511322,0.9148673017819723,Min
2,A,30,1,13_A_exp64,0.9375201463699341,0.9148673017819723,Max
3,G,30,7,13_G_exp8,0.8936662077903748,0.9173082609971365,Min
11,G,60,7,13_G_exp64,0.9350222945213318,0.9173082609971365,Max
3,N,30,7,13_N_exp8,0.8871937394142151,0.9075486113627752,Min
2,N,30,1,13_N_exp64,0.9236714839935304,0.9075486113627752,Max
3,T,30,7,13_T_exp8,0.8996763825416565,0.9189585447311401,Min
6,T,60,1,13_T_exp8,0.9372549057006836,0.9189585447311401,Max
8,W,60,1,13_W_exp64,0.8888888955116272,0.9094093888998032,Min
5,W,30,7,13_W_exp64,0.931900143623352,0.9094093888998032,Max
3,Y,30,7,13_Y_exp8,0.8853444457054138,0.9117752263943354,Min
5,Y,30,7,13_Y_exp64,0.9345815777778624,0.9117752263943354,Max
6,AB,60,1,13_AB_exp8,0.905555546283722,0.9178427259127299,Min
0,AB,30,1,13_AB_exp8,0.9297906756401062,0.9178427259127299,Max
3,AD,30,7,13_AD_exp8,0.893203854560852,0.9151550183693568,Min
0,AD,30,1,13_AD_exp8,0.9359098076820374,0.9151550183693568,Max
