,Slate,Model Letter,Network,Separation_Scheme,Mean Metric,Best Metric,Best Input Days,Best Output Days,Best Base
0,18,A,1,4,0.01518634225552281,0.012433555908501148,60,1,64
1,18,B,1,3,0.015308237042682069,0.012646972413428804,60,1,64
2,18,C,1,2,0.015645247946944142,0.013048187037484279,60,1,64
3,18,F,2,2,0.015864055426241728,0.013270999831882749,30,1,64
4,18,G,2,4,0.015536233705158034,0.012622612528502941,30,1,32
5,18,J,2,3,0.016041664560763627,0.013382250890937862,30,1,64
6,18,M,2,3,0.015577737367867925,0.012979648082681962,30,1,64
7,18,N,2,4,0.015250491444021462,0.012507511302828787,30,1,64
8,18,Q,2,2,0.01566527203400137,0.013245360838899916,30,1,64
9,18,T,3,4,0.015490284267192088,0.01248167920857668,30,1,64
10,18,V,3,3,0.016021635455407638,0.013429167141255579,30,1,64
11,18,W,3,4,0.01524370031741758,0.012442498467862606,60,1,32
12,18,Y,3,4,0.015328137902542947,0.012437876313924793,60,1,64
13,18,AA,3,2,0.015679284919460305,0.0131140377408152,60,1,64
14,18,AB,3,4,0.015244318715607129,0.012588592246174812,30,1,32
15,18,AD,4,4,0.015605028951540591,0.01256854273378849,30,1,64
