,letter,mean base 8,mean base 32,mean base 64
0,C,0.01700805959990248,0.016553668232518248,0.016500283149071038
1,F,0.01722783374134451,0.016658502878271975,0.01664280351542402
2,Q,0.016894005908397958,0.01668403798248619,0.01657657379109878
3,AA,0.017022626474499702,0.016730146307963878,0.016622302820906043
4,B,0.015506706619635224,0.015033680417885383,0.014966137350226442
5,J,0.01623012296234568,0.015773738423983257,0.015674887706215182
6,M,0.015792392070094745,0.015292483568191528,0.015305617218837142
7,V,0.016174468506748477,0.015753912879154085,0.015698466294755537
8,A,0.015418932307511568,0.015233194921165705,0.01490689953789115
9,G,0.015986433951184154,0.015161935705691576,0.015460331458598375
10,N,0.01564524951390922,0.015192322200164199,0.01491390261799097
11,T,0.015860799001529813,0.015228796284645796,0.015381257515400648
12,W,0.015582242049276829,0.015196763444691896,0.01495209545828402
13,Y,0.01591640035621822,0.015135424211621284,0.014932589139789343
14,AB,0.015504139475524426,0.015048493864014745,0.01518032280728221
15,AD,0.01570270420052111,0.015668811509385705,0.015443571144714952
