,letter,stdev base 8,stdev base 32,stdev base 64
0,C,0.012980560966900248,0.012907259857828405,0.012737360841006157
1,F,0.013351622863064213,0.012758640759756119,0.012661673497423405
2,Q,0.012936737508475736,0.013001283540048003,0.012928728545826497
3,AA,0.013337657633817267,0.012989936910698299,0.013073843351211478
4,B,0.0030112980887289672,0.0031013166757348624,0.003109153129668414
5,J,0.003131234169923915,0.003219406647518782,0.003120970541585755
6,M,0.002957815905365194,0.0030100088435581506,0.003047061556500757
7,V,0.003120418933199418,0.0031462239648295874,0.0031507076989779554
8,A,0.002602403048369998,0.003136408059365281,0.0028409884197423676
9,G,0.0032010067268036335,0.0028705158391569936,0.003200688054410371
10,N,0.0024929832907970234,0.0028987516706503657,0.002706437563263331
11,T,0.002859828030756567,0.0029661425955315236,0.003252288410728349
12,W,0.002561661969274101,0.0028739526373867744,0.002837447581252126
13,Y,0.002244590996039782,0.0027472958129189174,0.002755437710072653
14,AB,0.00274199881444401,0.0027518800814383057,0.0029362183679004198
15,AD,0.0026654783240650575,0.0029228758488817276,0.0032923167271286654
