,letter,mean base 8,mean base 32,mean base 64
0,D,0.8323911343669069,0.8428659192447004,0.8527318920040953
1,I,0.8183761539644209,0.8222542831609989,0.8236191730047094
2,C,0.8617676347494125,0.8758662417531013,0.8921288177371025
3,F,0.8660665862262249,0.8738616667687893,0.8760643005371094
4,Q,0.8662178218364716,0.8692837581038475,0.8758532889187336
5,AA,0.8572664819657803,0.8674793168902397,0.8698894530534744
6,B,0.9001528173685074,0.9108148813247681,0.9158426175514857
7,J,0.8820705980062484,0.8879067103068033,0.8947811504205068
8,M,0.8841822495063146,0.8865888585646947,0.8993120978275935
9,V,0.8812130252520244,0.891079780459404,0.8936630676190058
10,A,0.8970817178487778,0.9209663569927216,0.9283082485198975
11,G,0.9009150862693787,0.9149088859558105,0.9056506901979446
12,N,0.906350389122963,0.9108824282884598,0.9223240613937378
13,T,0.9087804108858107,0.9239121824502945,0.9226899743080139
14,W,0.9063488095998764,0.9163391292095184,0.9242318719625473
15,Y,0.9041420519351959,0.9026647806167603,0.9292785078287125
16,AB,0.8997325152158737,0.9048118144273758,0.9198630005121231
17,AD,0.9145162105560303,0.910359725356102,0.9224160462617874
