,,,,,version,location_scheme,datastream_scheme,l_combo,ds_combo,input_days,output_days,loss,mse,mape,mae,dataset_size,training_time,experiment_name,dataset_name,epochs,network,letter,Max_or_Min
1,0,0,0,2,30,1,0.06555038690567018,0.06555038690567018,0.9024154543876648,0.7832929491996765,0.8391699194908142,647.0,2155.0,179.0,124.0,2062,70.89532899856567,10_A_exp32,10_A.v1.l0.ds0.l_combo0.ds_combo1.idays30.odays1,48,Network 1,A,Min
1,0,0,0,2,60,7,0.047090455889701836,0.047090459614992135,0.9356321692466736,0.7854633927345276,0.8341463208198547,2907.0,17036.0,794.0,578.0,2026,151.1065616607666,10_A_exp32,10_A.v1.l0.ds0.l_combo0.ds_combo1.idays60.odays7,100,Network 1,A,Max
1,0,0,0,2,60,1,0.0643109679222107,0.0643109679222107,0.9071895480155944,0.8315412402153015,0.8295590281486511,696.0,2080.0,141.0,143.0,2032,50.08114266395569,10_G_exp64,10_G.v1.l0.ds0.l_combo0.ds_combo1.idays60.odays1,34,Network 2,G,Min
1,0,0,0,2,60,7,0.05760188028216363,0.05760188028216363,0.916115403175354,0.7716994881629944,0.7889634370803833,3174.0,16353.0,939.0,849.0,2026,149.78524494171145,10_N_exp32,10_N.v1.l0.ds0.l_combo0.ds_combo1.idays60.odays7,100,Network 2,N,Max
1,0,0,0,0,60,1,0.07198682427406311,0.07198682427406311,0.8960784077644348,0.7862069010734558,0.8382353186607361,684.0,2058.0,186.0,132.0,2032,61.27038407325745,10_AB_exp32,10_AB.v1.l0.ds0.l_combo0.ds_combo0.idays60.odays1,41,Network 3,AB,Min
1,0,0,0,2,60,7,0.03777386620640755,0.03777386620640755,0.94815856218338,0.859318733215332,0.8386486768722534,3103.0,17107.0,508.0,597.0,2026,150.18114972114563,10_W_exp64,10_W.v1.l0.ds0.l_combo0.ds_combo1.idays60.odays7,100,Network 3,W,Max
1,0,0,0,2,60,1,0.0758698508143425,0.0758698508143425,0.8872548937797546,0.7211678624153137,0.7623456716537476,494.0,2221.0,191.0,154.0,2032,77.03309392929076,10_AD_exp32,10_AD.v1.l0.ds0.l_combo0.ds_combo1.idays60.odays1,53,Network 4,AD,Min
1,0,0,0,2,30,7,0.0594693161547184,0.0594693198800087,0.917244553565979,0.8092600703239441,0.7972500920295715,3653.0,16187.0,861.0,929.0,2056,134.5397310256958,10_AD_exp64,10_AD.v1.l0.ds0.l_combo0.ds_combo1.idays30.odays7,90,Network 4,AD,Max
