,letter,mean base 8,mean base 32,mean base 64
0,D,0.8171425544938375,0.8275530688291373,0.8295991691045983
1,I,0.8046342813691427,0.8055474013090134,0.8082470675540525
2,C,0.8579451491435369,0.8650016635656357,0.8923460294802984
3,F,0.8622223685185114,0.8586673339207967,0.8667354633410772
4,Q,0.839964379866918,0.8616182059049606,0.8608599851528803
5,AA,0.8513195067644119,0.8530653317769369,0.8580637325843176
6,B,0.8659795552492142,0.8739926328261693,0.8860019008318584
7,J,0.8468529224395752,0.8437279889980952,0.854220383365949
8,M,0.8472975482543309,0.8523844838142395,0.8554226477940877
9,V,0.8426896582047144,0.8509637087583541,0.8582769900560379
10,A,0.8947297781705856,0.9115067422389984,0.908989891409874
11,G,0.8932347595691681,0.9075608998537064,0.915251761674881
12,N,0.8817801922559738,0.9040416330099106,0.9059524834156036
13,T,0.8923774808645248,0.9087613373994827,0.9024133682250977
14,W,0.885790228843689,0.8982885628938675,0.9090215116739273
15,Y,0.8926210850477219,0.8958696275949478,0.8985568881034851
16,AB,0.8949623107910156,0.9075146317481995,0.9073086231946945
17,AD,0.899124026298523,0.9037308394908905,0.904708057641983
