,,,,,version,location_scheme,datastream_scheme,l_combo,ds_combo,input_days,output_days,loss,mse,mape,mae,dataset_size,training_time,experiment_name,dataset_name,epochs,network,letter,Max_or_Min
1,1,0,10,0,60,1,0.11877675354480745,0.11877675354480745,0.8284313678741455,0.6756756901741028,0.8196721076965332,50.0,119.0,24.0,11.0,2032,49.37482500076294,11_B_exp32,11_B.v1.l1.ds0.l_combo10.ds_combo0.idays60.odays1,34,Network 1,B,Min
1,1,0,5,0,60,7,0.04974880069494248,0.04974880069494248,0.928146243095398,0.0,0.0,0.0,2183.0,0.0,169.0,3354,165.80459976196292,11_B_exp8,11_B.v1.l1.ds0.l_combo5.ds_combo0.idays60.odays7,68,Network 1,B,Max
1,1,0,10,0,60,1,0.1212606355547905,0.1212606355547905,0.8431372642517091,0.7848101258277893,0.8051947951316833,62.0,110.0,17.0,15.0,2032,100.52253460884094,11_J_exp64,11_J.v1.l1.ds0.l_combo10.ds_combo0.idays60.odays1,68,Network 2,J,Min
1,1,0,5,0,30,7,0.05478346347808838,0.05478345602750778,0.9321534037590028,0.0,0.0,0.0,2212.0,0.0,161.0,3384,241.77286624908447,11_J_exp8,11_J.v1.l1.ds0.l_combo5.ds_combo0.idays30.odays7,100,Network 2,J,Max
1,1,0,10,0,60,1,0.11796632409095766,0.11796632409095766,0.8284313678741455,0.7361111044883728,0.7681159377098083,53.0,116.0,19.0,16.0,2032,68.18677616119385,11_V_exp32,11_V.v1.l1.ds0.l_combo10.ds_combo0.idays60.odays1,47,Network 3,V,Min
1,1,0,5,0,30,7,0.0621490590274334,0.0621490590274334,0.9237252473831176,0.5,0.01104972418397665,2.0,2190.0,2.0,179.0,3384,243.51425743103027,11_V_exp32,11_V.v1.l1.ds0.l_combo5.ds_combo0.idays30.odays7,100,Network 3,V,Max
1,1,0,10,0,60,1,0.14772793650627136,0.14772793650627136,0.7696078419685364,0.5822784900665283,0.7666666507720947,46.0,111.0,33.0,14.0,2032,54.7740387916565,11_M_exp32,11_M.v1.l1.ds0.l_combo10.ds_combo0.idays60.odays1,37,Network 4,M,Min
1,1,0,5,0,30,7,0.07082028687000275,0.07082027941942215,0.9241466522216796,0.0,0.0,0.0,2193.0,0.0,180.0,3384,36.71100068092346,11_M_exp8,11_M.v1.l1.ds0.l_combo5.ds_combo0.idays30.odays7,15,Network 4,M,Max
