,letter,input_days,output_days,experiment_name,weighted_metric
2,AB,30,1,11_AB_exp64,0.8856682777404785
9,C,60,7,11_C_exp8,0.8536867698033651
0,B,30,1,11_B_exp8,0.8588839650154114
6,D,60,1,11_D_exp8,0.7625840057929358
