,version,location_scheme,datastream_scheme,l_combo,ds_combo,input_days,output_days,loss,mse,binary_accuracy,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs,network,letter,Max_or_Min
459,1.0,1.0,1.0,10.0,2.0,60.0,7.0,0.20167146623134613,0.20167148113250727,0.6664320826530457,0.0,0.0,0.0,947.0,0.0,474.0,2026.0,58.80794668197632,11_D_exp64,11_D.v1.l1.ds1.l_combo10.ds_combo2.idays60.odays7,39.0,Network 1,D,Min
238,1.0,1.0,1.0,5.0,3.0,60.0,1.0,0.06223994120955467,0.06223994120955467,0.9345238208770752,0.0,0.0,0.0,314.0,0.0,22.0,3360.0,49.71513605117798,11_D_exp32,11_D.v1.l1.ds1.l_combo5.ds_combo3.idays60.odays1,21.0,Network 1,D,Max
410,1.0,1.0,1.0,5.0,3.0,60.0,1.0,0.05844701454043389,0.05844701454043389,0.9345238208770752,0.0,0.0,0.0,314.0,0.0,22.0,3360.0,109.3099594116211,11_D_exp64,11_D.v1.l1.ds1.l_combo5.ds_combo3.idays60.odays1,46.0,Network 1,D,Max
120,1.0,1.0,1.0,10.0,4.0,30.0,1.0,0.1981973946094513,0.1981973946094513,0.6521739363670349,0.0,0.0,0.0,135.0,0.0,72.0,2062.0,49.86274361610413,11_I_exp8,11_I.v1.l1.ds1.l_combo10.ds_combo4.idays30.odays1,34.0,Network 2,I,Min
63,1.0,1.0,1.0,5.0,2.0,60.0,7.0,0.0601792261004448,0.060179229825735085,0.9362244606018066,0.0,0.0,0.0,2202.0,0.0,150.0,3354.0,145.5828859806061,11_I_exp8,11_I.v1.l1.ds1.l_combo5.ds_combo2.idays60.odays7,60.0,Network 2,I,Max
