,letter,stdev base 8,stdev base 32,stdev base 64
0,D,0.33524159463206704,0.3364199886469391,0.33556565045395176
1,I,0.33509653205681694,0.3326759762776402,0.3336278214297393
2,C,0.33698186878783876,0.3056873307987212,0.2999235851279145
3,F,0.37313065764220676,0.3327863502092317,0.3291892915857463
4,Q,0.3736488775958689,0.33192914637474763,0.3505637589016546
5,AA,0.3542869811343022,0.33195439513264297,0.35562417543426716
6,B,0.19060192324157804,0.18461045989769495,0.20461993974727619
7,J,0.2145400384579057,0.19902294251755892,0.1973141753776301
8,M,0.25672782156390683,0.21998959476394647,0.208383034106994
9,V,0.2587215633944575,0.2042380871942817,0.23207539867559546
10,A,0.047785002738688395,0.0439081226743167,0.03845037556486146
11,G,0.0421973844772561,0.03007317732543652,0.03893578160495425
12,N,0.04267392510544625,0.032430257765145964,0.03545987491701859
13,T,0.059389238388371145,0.022722192364511437,0.03294946594539951
14,W,0.03404156815994866,0.04007033465286688,0.05189896814162064
15,Y,0.03528017192625031,0.05018593294185764,0.03715593439368442
16,AB,0.030509791029921157,0.02818189110609575,0.03723394571796169
17,AD,0.053004603233929526,0.0427780866420688,0.03639997782024106
