,letter,input_days,output_days,experiment_name,weighted_metric,mean_metric,min_or_max
11,D,60,7,17_D_exp64,0.2544993480708437,0.3116008929831218,Min
2,D,30,1,17_D_exp64,0.34287277613136263,0.3116008929831218,Max
4,I,30,7,17_I_exp32,0.2339620505276722,0.2642483292407391,Min
7,I,60,1,17_I_exp32,0.3007888924412035,0.2642483292407391,Max
3,C,30,7,17_C_exp8,0.3607915879642668,0.5713389421708985,Min
11,C,60,7,17_C_exp64,0.6965761759178338,0.5713389421708985,Max
9,F,60,7,17_F_exp8,0.3653748583170776,0.5226327164789849,Min
11,F,60,7,17_F_exp64,0.5731485671475589,0.5226327164789849,Max
3,Q,30,7,17_Q_exp8,0.36770706873734016,0.4949676632291782,Min
0,Q,30,1,17_Q_exp8,0.5647079597651615,0.4949676632291782,Max
9,AA,60,7,17_AA_exp8,0.3624140711481551,0.519458200403694,Min
3,AA,30,7,17_AA_exp8,0.5641997398263721,0.519458200403694,Max
5,B,30,7,17_B_exp64,0.5734477797130745,0.6733794466416754,Min
1,B,30,1,17_B_exp32,0.7395719401247712,0.6733794466416754,Max
5,J,30,7,17_J_exp64,0.5796604859930461,0.6482692366038456,Min
2,J,30,1,17_J_exp64,0.7241101756246351,0.6482692366038456,Max
3,M,30,7,17_M_exp8,0.5926854375290358,0.6453319886814703,Min
2,M,30,1,17_M_exp64,0.700515514620201,0.6453319886814703,Max
4,V,30,7,17_V_exp32,0.5887304671581539,0.639805720939108,Min
8,V,60,1,17_V_exp64,0.7024126033136606,0.639805720939108,Max
3,A,30,7,17_A_exp8,0.7343855572845417,0.7992698216669337,Min
8,A,60,1,17_A_exp64,0.8435565547129772,0.7992698216669337,Max
3,G,30,7,17_G_exp8,0.7231924508200154,0.7916660251581558,Min
8,G,60,1,17_G_exp64,0.8372220676623124,0.7916660251581558,Max
3,N,30,7,17_N_exp8,0.7380561492713107,0.7996086284098413,Min
8,N,60,1,17_N_exp64,0.8446170853784851,0.7996086284098413,Max
3,T,30,7,17_T_exp8,0.7021914524613437,0.7835414646815163,Min
8,T,60,1,17_T_exp64,0.8309859272764905,0.7835414646815163,Max
5,W,30,7,17_W_exp64,0.7261535918200213,0.8035432326515933,Min
2,W,30,1,17_W_exp64,0.8473670161991196,0.8035432326515933,Max
4,Y,30,7,17_Y_exp32,0.7531665886206209,0.8016649951532533,Min
7,Y,60,1,17_Y_exp32,0.8434782650387914,0.8016649951532533,Max
3,AB,30,7,17_AB_exp8,0.7620098707519058,0.8052986185019567,Min
2,AB,30,1,17_AB_exp64,0.8421337688684077,0.8052986185019567,Max
3,AD,30,7,17_AD_exp8,0.6941966363382123,0.7780791354046751,Min
1,AD,30,1,17_AD_exp32,0.8231950049837036,0.7780791354046751,Max
