,Unnamed: 0,version,location_scheme,datastream_scheme,l_combo,ds_combo,input_days,output_days,loss,mse,f1,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs,network,letter,Max_or_Min
31,31.0,1.0,1.0,1.0,1.0,4.0,60.0,7.0,0.1084849014878273,0.1084848940372467,0.0,0.0,0.0,0.0,4028.0,0.0,599.0,3301.0,48.84412312507629,17_D_exp8,17_D.v1.l1.ds1.l_combo1.ds_combo4.idays60.odays7,23.0,Network 1,D,Min
36,36.0,1.0,1.0,1.0,2.0,2.0,30.0,1.0,0.11418262869119646,0.11418262869119646,0.0,0.0,0.0,0.0,570.0,0.0,85.0,3272.0,22.517042398452762,17_D_exp8,17_D.v1.l1.ds1.l_combo2.ds_combo2.idays30.odays1,11.0,Network 1,D,Min
37,37.0,1.0,1.0,1.0,2.0,2.0,30.0,7.0,0.12058791518211365,0.12058792263269424,0.0,0.0,0.0,0.0,3973.0,0.0,605.0,3266.0,25.18080401420593,17_D_exp8,17_D.v1.l1.ds1.l_combo2.ds_combo2.idays30.odays7,12.0,Network 1,D,Min
38,38.0,1.0,1.0,1.0,2.0,2.0,60.0,1.0,0.1124919056892395,0.1124919056892395,0.0,0.0,0.0,0.0,568.0,0.0,81.0,3242.0,22.7140851020813,17_D_exp8,17_D.v1.l1.ds1.l_combo2.ds_combo2.idays60.odays1,11.0,Network 1,D,Min
39,39.0,1.0,1.0,1.0,2.0,2.0,60.0,7.0,0.12094276398420335,0.12094276398420335,0.0,0.0,0.0,0.0,3962.0,0.0,574.0,3236.0,25.083343982696533,17_D_exp8,17_D.v1.l1.ds1.l_combo2.ds_combo2.idays60.odays7,12.0,Network 1,D,Min
42,42.0,1.0,1.0,1.0,2.0,3.0,60.0,1.0,0.08597734570503235,0.08597734570503235,0.0,0.0,0.0,0.0,568.0,0.0,81.0,3242.0,119.37566614151001,17_D_exp8,17_D.v1.l1.ds1.l_combo2.ds_combo3.idays60.odays1,58.0,Network 1,D,Min
43,43.0,1.0,1.0,1.0,2.0,3.0,60.0,7.0,0.12722371518611908,0.12722370028495789,0.0,0.0,0.0,0.0,3962.0,0.0,574.0,3236.0,25.25566124916077,17_D_exp8,17_D.v1.l1.ds1.l_combo2.ds_combo3.idays60.odays7,12.0,Network 1,D,Min
44,44.0,1.0,1.0,1.0,2.0,4.0,30.0,1.0,0.09789729118347168,0.09789729118347168,0.0,0.0,0.0,0.0,570.0,0.0,85.0,3272.0,81.85502195358276,17_D_exp8,17_D.v1.l1.ds1.l_combo2.ds_combo4.idays30.odays1,40.0,Network 1,D,Min
45,45.0,1.0,1.0,1.0,2.0,4.0,30.0,7.0,0.09934906661510468,0.09934905916452408,0.0,0.0,0.0,0.0,3973.0,0.0,605.0,3266.0,71.34884357452394,17_D_exp8,17_D.v1.l1.ds1.l_combo2.ds_combo4.idays30.odays7,34.0,Network 1,D,Min
46,46.0,1.0,1.0,1.0,2.0,4.0,60.0,1.0,0.09816402196884157,0.09816402196884157,0.0,0.0,0.0,0.0,568.0,0.0,81.0,3242.0,41.314838886260986,17_D_exp8,17_D.v1.l1.ds1.l_combo2.ds_combo4.idays60.odays1,20.0,Network 1,D,Min
47,47.0,1.0,1.0,1.0,2.0,4.0,60.0,7.0,0.10174258053302764,0.10174258798360823,0.0,0.0,0.0,0.0,3962.0,0.0,574.0,3236.0,41.93694519996643,17_D_exp8,17_D.v1.l1.ds1.l_combo2.ds_combo4.idays60.odays7,20.0,Network 1,D,Min
52,52.0,1.0,1.0,1.0,3.0,2.0,30.0,1.0,0.16839943826198578,0.16839943826198578,0.0,0.0,0.0,0.0,521.0,0.0,157.0,3389.0,56.83682131767273,17_D_exp8,17_D.v1.l1.ds1.l_combo3.ds_combo2.idays30.odays1,27.0,Network 1,D,Min
53,53.0,1.0,1.0,1.0,3.0,2.0,30.0,7.0,0.16963644325733185,0.16963644325733185,0.0,0.0,0.0,0.0,3636.0,0.0,1103.0,3383.0,68.83066749572754,17_D_exp8,17_D.v1.l1.ds1.l_combo3.ds_combo2.idays30.odays7,32.0,Network 1,D,Min
54,54.0,1.0,1.0,1.0,3.0,2.0,60.0,1.0,0.16695377230644226,0.16695377230644226,0.0,0.0,0.0,0.0,521.0,0.0,151.0,3359.0,74.33322763442995,17_D_exp8,17_D.v1.l1.ds1.l_combo3.ds_combo2.idays60.odays1,35.0,Network 1,D,Min
55,55.0,1.0,1.0,1.0,3.0,2.0,60.0,7.0,0.167622908949852,0.1676228940486908,0.0,0.0,0.0,0.0,3635.0,0.0,1062.0,3353.0,82.84392976760864,17_D_exp8,17_D.v1.l1.ds1.l_combo3.ds_combo2.idays60.odays7,38.0,Network 1,D,Min
60,60.0,1.0,1.0,1.0,3.0,4.0,30.0,1.0,0.1554863601922989,0.1554863601922989,0.0,0.0,0.0,0.0,521.0,0.0,157.0,3389.0,50.37094593048096,17_D_exp8,17_D.v1.l1.ds1.l_combo3.ds_combo4.idays30.odays1,24.0,Network 1,D,Min
61,61.0,1.0,1.0,1.0,3.0,4.0,30.0,7.0,0.15570694208145142,0.15570694208145142,0.0,0.0,0.0,0.0,3636.0,0.0,1103.0,3383.0,43.03502678871155,17_D_exp8,17_D.v1.l1.ds1.l_combo3.ds_combo4.idays30.odays7,20.0,Network 1,D,Min
63,63.0,1.0,1.0,1.0,3.0,4.0,60.0,7.0,0.1517590582370758,0.151759073138237,0.0,0.0,0.0,0.0,3635.0,0.0,1062.0,3353.0,96.02159333229065,17_D_exp8,17_D.v1.l1.ds1.l_combo3.ds_combo4.idays60.odays7,44.0,Network 1,D,Min
68,68.0,1.0,1.0,1.0,4.0,2.0,30.0,1.0,0.1741766482591629,0.1741766482591629,0.0,0.0,0.0,0.0,499.0,0.0,177.0,3378.0,73.10655164718628,17_D_exp8,17_D.v1.l1.ds1.l_combo4.ds_combo2.idays30.odays1,35.0,Network 1,D,Min
69,69.0,1.0,1.0,1.0,4.0,2.0,30.0,7.0,0.18001870810985565,0.18001870810985565,0.0,0.0,0.0,0.0,3481.0,0.0,1244.0,3372.0,44.945905923843384,17_D_exp8,17_D.v1.l1.ds1.l_combo4.ds_combo2.idays30.odays7,21.0,Network 1,D,Min
70,70.0,1.0,1.0,1.0,4.0,2.0,60.0,1.0,0.16955123841762546,0.16955123841762546,0.0,0.0,0.0,0.0,498.0,0.0,172.0,3348.0,61.09631538391113,17_D_exp8,17_D.v1.l1.ds1.l_combo4.ds_combo2.idays60.odays1,29.0,Network 1,D,Min
71,71.0,1.0,1.0,1.0,4.0,2.0,60.0,7.0,0.16999639570713046,0.16999638080596924,0.0,0.0,0.0,0.0,3478.0,0.0,1205.0,3342.0,79.40247631072998,17_D_exp8,17_D.v1.l1.ds1.l_combo4.ds_combo2.idays60.odays7,37.0,Network 1,D,Min
84,84.0,1.0,1.0,1.0,5.0,2.0,30.0,1.0,0.06151206791400909,0.06151206791400909,0.0,0.0,0.0,0.0,634.0,0.0,44.0,3390.0,140.5285258293152,17_D_exp8,17_D.v1.l1.ds1.l_combo5.ds_combo2.idays30.odays1,67.0,Network 1,D,Min
85,85.0,1.0,1.0,1.0,5.0,2.0,30.0,7.0,0.06140841543674469,0.0614084042608738,0.0,0.0,0.0,0.0,4432.0,0.0,307.0,3384.0,34.5105996131897,17_D_exp8,17_D.v1.l1.ds1.l_combo5.ds_combo2.idays30.odays7,16.0,Network 1,D,Min
86,86.0,1.0,1.0,1.0,5.0,2.0,60.0,1.0,0.060000054538249976,0.060000054538249976,0.0,0.0,0.0,0.0,630.0,0.0,42.0,3360.0,27.99274206161499,17_D_exp8,17_D.v1.l1.ds1.l_combo5.ds_combo2.idays60.odays1,13.0,Network 1,D,Min
87,87.0,1.0,1.0,1.0,5.0,2.0,60.0,7.0,0.060355879366397865,0.06035587564110756,0.0,0.0,0.0,0.0,4402.0,0.0,295.0,3354.0,34.83268594741821,17_D_exp8,17_D.v1.l1.ds1.l_combo5.ds_combo2.idays60.odays7,16.0,Network 1,D,Min
88,88.0,1.0,1.0,1.0,5.0,3.0,30.0,1.0,0.061155084520578384,0.061155084520578384,0.0,0.0,0.0,0.0,634.0,0.0,44.0,3390.0,58.57617139816284,17_D_exp8,17_D.v1.l1.ds1.l_combo5.ds_combo3.idays30.odays1,28.0,Network 1,D,Min
89,89.0,1.0,1.0,1.0,5.0,3.0,30.0,7.0,0.06234773993492127,0.062347732484340675,0.0,0.0,0.0,0.0,4432.0,0.0,307.0,3384.0,34.8044855594635,17_D_exp8,17_D.v1.l1.ds1.l_combo5.ds_combo3.idays30.odays7,16.0,Network 1,D,Min
90,90.0,1.0,1.0,1.0,5.0,3.0,60.0,1.0,0.056138407438993454,0.056138407438993454,0.0,0.0,0.0,0.0,630.0,0.0,42.0,3360.0,81.55107426643372,17_D_exp8,17_D.v1.l1.ds1.l_combo5.ds_combo3.idays60.odays1,38.0,Network 1,D,Min
91,91.0,1.0,1.0,1.0,5.0,3.0,60.0,7.0,0.05597534403204918,0.05597534030675888,0.0,0.0,0.0,0.0,4402.0,0.0,295.0,3354.0,92.184814453125,17_D_exp8,17_D.v1.l1.ds1.l_combo5.ds_combo3.idays60.odays7,42.0,Network 1,D,Min
92,92.0,1.0,1.0,1.0,5.0,4.0,30.0,1.0,0.061557501554489136,0.061557501554489136,0.0,0.0,0.0,0.0,634.0,0.0,44.0,3390.0,27.566628456115733,17_D_exp8,17_D.v1.l1.ds1.l_combo5.ds_combo4.idays30.odays1,13.0,Network 1,D,Min
93,93.0,1.0,1.0,1.0,5.0,4.0,30.0,7.0,0.06158424541354179,0.0615842342376709,0.0,0.0,0.0,0.0,4432.0,0.0,307.0,3384.0,34.374667882919304,17_D_exp8,17_D.v1.l1.ds1.l_combo5.ds_combo4.idays30.odays7,16.0,Network 1,D,Min
94,94.0,1.0,1.0,1.0,5.0,4.0,60.0,1.0,0.06239620968699455,0.06239620968699455,0.0,0.0,0.0,0.0,630.0,0.0,42.0,3360.0,23.812898635864247,17_D_exp8,17_D.v1.l1.ds1.l_combo5.ds_combo4.idays60.odays1,11.0,Network 1,D,Min
95,95.0,1.0,1.0,1.0,5.0,4.0,60.0,7.0,0.06068778410553932,0.06068778783082963,0.0,0.0,0.0,0.0,4402.0,0.0,295.0,3354.0,33.809985160827644,17_D_exp8,17_D.v1.l1.ds1.l_combo5.ds_combo4.idays60.odays7,15.0,Network 1,D,Min
100,100.0,1.0,1.0,1.0,6.0,2.0,30.0,1.0,0.17882885038852692,0.17882885038852692,0.0,0.0,0.0,0.0,513.0,0.0,166.0,3392.0,97.98795342445374,17_D_exp8,17_D.v1.l1.ds1.l_combo6.ds_combo2.idays30.odays1,47.0,Network 1,D,Min
101,101.0,1.0,1.0,1.0,6.0,2.0,30.0,7.0,0.1787915676832199,0.1787915676832199,0.0,0.0,0.0,0.0,3582.0,0.0,1164.0,3386.0,100.25347709655762,17_D_exp8,17_D.v1.l1.ds1.l_combo6.ds_combo2.idays30.odays7,47.0,Network 1,D,Min
102,102.0,1.0,1.0,1.0,6.0,2.0,60.0,1.0,0.17977073788642886,0.17977073788642886,0.0,0.0,0.0,0.0,513.0,0.0,160.0,3362.0,40.53096055984497,17_D_exp8,17_D.v1.l1.ds1.l_combo6.ds_combo2.idays60.odays1,19.0,Network 1,D,Min
103,103.0,1.0,1.0,1.0,6.0,2.0,60.0,7.0,0.17570611834526062,0.175706148147583,0.0,0.0,0.0,0.0,3575.0,0.0,1129.0,3356.0,58.99471306800842,17_D_exp8,17_D.v1.l1.ds1.l_combo6.ds_combo2.idays60.odays7,27.0,Network 1,D,Min
108,108.0,1.0,1.0,1.0,7.0,2.0,30.0,1.0,0.16809974610805511,0.16809974610805511,0.0,0.0,0.0,0.0,391.0,0.0,135.0,2629.0,128.06700801849362,17_D_exp8,17_D.v1.l1.ds1.l_combo7.ds_combo2.idays30.odays1,77.0,Network 1,D,Min
109,109.0,1.0,1.0,1.0,7.0,2.0,30.0,7.0,0.1696607768535614,0.1696607619524002,0.0,0.0,0.0,0.0,2740.0,0.0,935.0,2623.0,99.81596660614014,17_D_exp8,17_D.v1.l1.ds1.l_combo7.ds_combo2.idays30.odays7,58.0,Network 1,D,Min
110,110.0,1.0,1.0,1.0,7.0,2.0,60.0,1.0,0.17214874923229218,0.17214874923229218,0.0,0.0,0.0,0.0,385.0,0.0,135.0,2599.0,99.28538990020752,17_D_exp8,17_D.v1.l1.ds1.l_combo7.ds_combo2.idays60.odays1,61.0,Network 1,D,Min
111,111.0,1.0,1.0,1.0,7.0,2.0,60.0,7.0,0.17106351256370544,0.17106352746486664,0.0,0.0,0.0,0.0,2698.0,0.0,935.0,2593.0,106.09634590148926,17_D_exp8,17_D.v1.l1.ds1.l_combo7.ds_combo2.idays60.odays7,64.0,Network 1,D,Min
118,118.0,1.0,1.0,1.0,7.0,4.0,60.0,1.0,0.1574503481388092,0.1574503481388092,0.0,0.0,0.0,0.0,385.0,0.0,135.0,2599.0,36.03955173492432,17_D_exp8,17_D.v1.l1.ds1.l_combo7.ds_combo4.idays60.odays1,22.0,Network 1,D,Min
124,124.0,1.0,1.0,1.0,8.0,2.0,30.0,1.0,0.178853377699852,0.178853377699852,0.0,0.0,0.0,0.0,503.0,0.0,169.0,3357.0,115.28032422065736,17_D_exp8,17_D.v1.l1.ds1.l_combo8.ds_combo2.idays30.odays1,55.0,Network 1,D,Min
125,125.0,1.0,1.0,1.0,8.0,2.0,30.0,7.0,0.18261517584323889,0.18261516094207764,0.0,0.0,0.0,0.0,3509.0,0.0,1188.0,3351.0,98.5290379524231,17_D_exp8,17_D.v1.l1.ds1.l_combo8.ds_combo2.idays30.odays7,46.0,Network 1,D,Min
126,126.0,1.0,1.0,1.0,8.0,2.0,60.0,1.0,0.180727019906044,0.180727019906044,0.0,0.0,0.0,0.0,500.0,0.0,166.0,3327.0,81.35258412361145,17_D_exp8,17_D.v1.l1.ds1.l_combo8.ds_combo2.idays60.odays1,39.0,Network 1,D,Min
127,127.0,1.0,1.0,1.0,8.0,2.0,60.0,7.0,0.18532651662826533,0.18532651662826533,0.0,0.0,0.0,0.0,3494.0,0.0,1161.0,3321.0,157.6920530796051,17_D_exp8,17_D.v1.l1.ds1.l_combo8.ds_combo2.idays60.odays7,74.0,Network 1,D,Min
134,134.0,1.0,1.0,1.0,8.0,4.0,60.0,1.0,0.15767285227775574,0.15767285227775574,0.0,0.0,0.0,0.0,500.0,0.0,166.0,3327.0,48.190147399902344,17_D_exp8,17_D.v1.l1.ds1.l_combo8.ds_combo4.idays60.odays1,23.0,Network 1,D,Min
135,135.0,1.0,1.0,1.0,8.0,4.0,60.0,7.0,0.15557131171226501,0.1555713415145874,0.0,0.0,0.0,0.0,3494.0,0.0,1161.0,3321.0,115.93295311927795,17_D_exp8,17_D.v1.l1.ds1.l_combo8.ds_combo4.idays60.odays7,54.0,Network 1,D,Min
