,letter,mean base 8,mean base 32,mean base 64
0,D,0.33258922757095943,0.33630061213704404,0.3238436432988106
1,I,0.27478218729977877,0.2832384855781692,0.2780519607032441
2,C,0.5262592139367137,0.5892739856748485,0.5984836269011335
3,F,0.4651794877517835,0.5515668529661713,0.551151808719
4,Q,0.46495716074624693,0.5451903507250128,0.474755478216275
5,AA,0.5044513049678361,0.5437408358358482,0.5101824604073975
6,B,0.6771049099129983,0.6812114009985157,0.6618220290135122
7,J,0.651535418611653,0.6416175993005038,0.6516546918993805
8,M,0.6265804117832098,0.6494390436441042,0.659976510617097
9,V,0.6290668647518428,0.6493242647374857,0.6410260333279957
10,A,0.7912518305757936,0.7972622307501406,0.8092954036748669
11,G,0.7806698602914086,0.7951228091284702,0.7992054060545883
12,N,0.7917981649257092,0.7986536882181631,0.8083740320856514
13,T,0.7654108113696882,0.7872701782395503,0.7979434044353106
14,W,0.804592419935614,0.8087300809285697,0.7973071970905959
15,Y,0.8003116123768339,0.798278670929625,0.8064047021533007
16,AB,0.7958741689097225,0.8104028969227327,0.8096187896734145
17,AD,0.7697066383799147,0.7889642693482493,0.7755664984858613
