,Unnamed: 0,version,location_scheme,datastream_scheme,l_combo,ds_combo,input_days,output_days,loss,mse,f1,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs,network,letter,Max_or_Min
4,4,1,0,1,0,2,30,1,0.1808287799358368,0.1808287799358368,0.0,0.0,0.0,0.0,4431.0,0.0,1764.0,2062,56.785584449768066,17_C_exp8,17_C.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays1,43,Network 1,C,Min
5,5,1,0,1,0,2,30,7,0.2020922154188156,0.20209218561649325,0.0,0.0,0.0,0.0,30982.0,0.0,12278.0,2056,17.86294174194336,17_C_exp8,17_C.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays7,13,Network 1,C,Min
7,7,1,0,1,0,2,60,7,0.2035052478313446,0.2035052627325058,0.0,0.0,0.0,0.0,30376.0,0.0,12254.0,2026,18.9531888961792,17_C_exp8,17_C.v1.l0.ds1.l_combo0.ds_combo2.idays60.odays7,14,Network 1,C,Min
13,13,1,0,1,0,4,30,7,0.2034678161144257,0.20346784591674805,0.0,0.0,0.0,0.0,30982.0,0.0,12278.0,2056,19.55170464515686,17_C_exp8,17_C.v1.l0.ds1.l_combo0.ds_combo4.idays30.odays7,14,Network 1,C,Min
20,20,1,0,1,0,2,30,1,0.18006005883216858,0.18006005883216858,0.0,0.0,0.0,0.0,4431.0,0.0,1764.0,2062,33.06643128395081,17_C_exp32,17_C.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays1,25,Network 1,C,Min
21,21,1,0,1,0,2,30,7,0.18119727075099945,0.18119725584983826,0.0,0.0,0.0,0.0,30982.0,0.0,12278.0,2056,49.93925213813782,17_C_exp32,17_C.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays7,37,Network 1,C,Min
22,22,1,0,1,0,2,60,1,0.1717747002840042,0.1717747002840042,0.0,0.0,0.0,0.0,4341.0,0.0,1764.0,2032,59.2542576789856,17_C_exp32,17_C.v1.l0.ds1.l_combo0.ds_combo2.idays60.odays1,45,Network 1,C,Min
36,36,1,0,1,0,2,30,1,0.17833803594112396,0.17833803594112396,0.0,0.0,0.0,0.0,4431.0,0.0,1764.0,2062,33.224985361099236,17_C_exp64,17_C.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays1,25,Network 1,C,Min
37,37,1,0,1,0,2,30,7,0.1834252774715424,0.18342524766922,0.0,0.0,0.0,0.0,30982.0,0.0,12278.0,2056,50.6928083896637,17_C_exp64,17_C.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays7,37,Network 1,C,Min
32,32,1,0,1,0,1,30,1,0.07003846019506453,0.07003846019506453,0.8348978637020296,0.813778281211853,0.8571428656578064,1512.0,4085.0,346.0,252.0,2062,44.04599165916443,17_C_exp64,17_C.v1.l0.ds1.l_combo0.ds_combo1.idays30.odays1,33,Network 1,C,Max
4,4,1,0,1,0,2,30,1,0.20149120688438416,0.20149120688438416,0.0,0.0,0.0,0.0,4431.0,0.0,1764.0,2062,18.927814245224,17_F_exp8,17_F.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays1,14,Network 2,F,Min
