,Slate,Model Letter,Network,Separation_Scheme,Mean Metric,Best Metric,Best Input Days,Best Output Days,Best Base
0,17,A,1,4,0.7992698216669337,0.8435565547129772,60,1,64
1,17,B,1,3,0.6733794466416754,0.7395719401247712,30,1,32
2,17,C,1,2,0.5713389421708985,0.6965761759178338,60,7,64
3,17,D,1,1,0.3116008929831218,0.34287277613136263,30,1,64
4,17,F,2,2,0.5226327164789849,0.5731485671475589,60,7,64
5,17,G,2,4,0.7916660251581558,0.8372220676623124,60,1,64
6,17,I,2,1,0.2642483292407391,0.3007888924412035,60,1,32
7,17,J,2,3,0.6482692366038456,0.7241101756246351,30,1,64
8,17,M,2,3,0.6453319886814703,0.700515514620201,30,1,64
9,17,N,2,4,0.7996086284098413,0.8446170853784851,60,1,64
10,17,Q,2,2,0.4949676632291782,0.5647079597651615,30,1,8
11,17,T,3,4,0.7835414646815163,0.8309859272764905,60,1,64
12,17,V,3,3,0.6398057209391079,0.7024126033136606,60,1,64
13,17,W,3,4,0.8035432326515933,0.8473670161991196,30,1,64
14,17,Y,3,4,0.8016649951532533,0.8434782650387914,60,1,32
15,17,AA,3,2,0.519458200403694,0.5641997398263721,30,7,8
16,17,AB,3,4,0.8052986185019567,0.8421337688684077,30,1,64
17,17,AD,4,4,0.7780791354046751,0.8231950049837036,30,1,32
