,Slate,Model Letter,Network,Separation_Scheme,Mean Metric,Best Metric,Best Input Days,Best Output Days,Best Base
0,21,F,2,2,0.5005980318881417,0.5871767514313907,60,7,32
1,21,G,2,4,0.7910593451455021,0.8348059068153204,30,1,32
2,21,J,2,3,0.6500506110663836,0.7186550515456454,30,1,64
3,21,M,2,3,0.6607809141783559,0.7262434552935128,30,1,64
4,21,N,2,4,0.8001358562170555,0.8392028469667421,30,1,64
5,21,Q,2,2,0.5244703392379665,0.5826811715107196,60,7,64
6,21,T,3,4,0.7834636350621516,0.8379857850556708,60,1,32
7,21,V,3,3,0.6425892315652387,0.7255484708562759,30,1,64
8,21,W,3,4,0.8017142053195725,0.8409090734833528,30,1,64
9,21,Y,3,4,0.8054083492216266,0.8430836770191987,30,1,64
10,21,AA,3,2,0.5229178979897869,0.5667076198844357,60,1,32
11,21,AB,3,4,0.8010227465821466,0.8389899403073325,30,1,64
12,21,AD,4,4,0.7738849771570151,0.8297466788798681,30,1,64
