,letter,mean base 8,mean base 32,mean base 64
0,F,0.40746868877243514,0.5694132664541594,0.5249121404378305
1,Q,0.49885143924714487,0.5377165008708856,0.5368430775958691
2,AA,0.4830977292169859,0.5462149962903983,0.5394409684619764
3,J,0.6422835245722441,0.6448078089374053,0.6630604996895014
4,M,0.652782741965795,0.6644865701716701,0.6650734303976028
5,V,0.6295085707828714,0.6513066295350293,0.6469524943778154
6,G,0.7843270678672127,0.7978703698773811,0.7909805976919121
7,N,0.7963736217308446,0.802940008725373,0.801093938194949
8,T,0.7929938374254467,0.7736264709525745,0.7837705968084332
9,W,0.8048724248644394,0.8031138789114584,0.79715631218282
10,Y,0.798294787636188,0.8097850651866709,0.8081451948420207
11,AB,0.7983223926977993,0.8007781395169983,0.8039677075316418
12,AD,0.758384373458231,0.7874176009700711,0.7758529570427428
