,letter,input_days,output_days,experiment_name,weighted_metric,mean_metric,min_or_max
3,F,30,7,21_F_exp8,0.3367254987551108,0.5005980318881417,Min
10,F,60,7,21_F_exp32,0.5871767514313907,0.5005980318881417,Max
3,Q,30,7,21_Q_exp8,0.3597482773674405,0.5244703392379665,Min
11,Q,60,7,21_Q_exp64,0.5826811715107196,0.5244703392379665,Max
3,AA,30,7,21_AA_exp8,0.35651178906866576,0.5229178979897869,Min
7,AA,60,1,21_AA_exp32,0.5667076198844357,0.5229178979897869,Max
5,J,30,7,21_J_exp64,0.5934067127307844,0.6500506110663836,Min
2,J,30,1,21_J_exp64,0.7186550515456454,0.6500506110663836,Max
4,M,30,7,21_M_exp32,0.5852914128488997,0.6607809141783559,Min
2,M,30,1,21_M_exp64,0.7262434552935128,0.6607809141783559,Max
5,V,30,7,21_V_exp64,0.5809652815424242,0.6425892315652387,Min
2,V,30,1,21_V_exp64,0.7255484708562759,0.6425892315652387,Max
9,G,60,7,21_G_exp8,0.7315713984089085,0.791059345145502,Min
1,G,30,1,21_G_exp32,0.8348059068153204,0.791059345145502,Max
5,N,30,7,21_N_exp64,0.7485730852917107,0.8001358562170555,Min
2,N,30,1,21_N_exp64,0.8392028469667421,0.8001358562170555,Max
10,T,60,7,21_T_exp32,0.7033589951368592,0.7834636350621516,Min
7,T,60,1,21_T_exp32,0.8379857850556708,0.7834636350621516,Max
11,W,60,7,21_W_exp64,0.7587455441065909,0.8017142053195725,Min
2,W,30,1,21_W_exp64,0.8409090734833528,0.8017142053195725,Max
3,Y,30,7,21_Y_exp8,0.7531456913951864,0.8054083492216266,Min
2,Y,30,1,21_Y_exp64,0.8430836770191987,0.8054083492216266,Max
5,AB,30,7,21_AB_exp64,0.7500315240033943,0.8010227465821466,Min
2,AB,30,1,21_AB_exp64,0.8389899403073325,0.8010227465821466,Max
5,AD,30,7,21_AD_exp64,0.7113420543100017,0.773884977157015,Min
2,AD,30,1,21_AD_exp64,0.8297466788798681,0.773884977157015,Max
