,letter,stdev base 8,stdev base 32,stdev base 64
0,F,0.3741970642109596,0.31869593059714496,0.3428562011817365
1,Q,0.3555524614410093,0.32685418733117416,0.33443525234447286
2,AA,0.35833364093495074,0.33178409355704924,0.3296078508789085
3,J,0.2239062966704092,0.20947309451821675,0.19711512213967133
4,M,0.20802669355793096,0.20819738852395067,0.19298430167573707
5,V,0.24441174920753117,0.21170851617846556,0.20824512738817522
6,G,0.049232826045885435,0.03799669688552994,0.03736509093416461
7,N,0.03449287349488722,0.036005823875382904,0.04150431430964446
8,T,0.03566101417964359,0.06678950195836508,0.048258181720090776
9,W,0.02754529585640726,0.03599299172422908,0.04300143305957207
10,Y,0.03926869515309842,0.029485357895412696,0.025193751977503065
11,AB,0.03025400577582021,0.040091967326050894,0.04273222091330196
12,AD,0.04810520620495129,0.04093029304605986,0.05587943051516889
