,Unnamed: 0,version,location_scheme,datastream_scheme,l_combo,ds_combo,input_days,output_days,loss,mse,f1,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs,network,letter,Max_or_Min
20,20,1,1,0,5,0,30,1,0.0509328655898571,0.0509328655898571,0.0,0.0,0.0,0.0,634.0,0.0,44.0,3390,48.878068685531616,21_J_exp8,21_J.v1.l1.ds0.l_combo5.ds_combo0.idays30.odays1,23,Network 2,J,Min
22,22,1,1,0,5,0,60,1,0.04543953388929367,0.04543953388929367,0.0,0.0,0.0,0.0,630.0,0.0,42.0,3360,95.24132585525513,21_J_exp8,21_J.v1.l1.ds0.l_combo5.ds_combo0.idays60.odays1,45,Network 2,J,Min
81,81,1,1,0,5,0,30,7,0.05094216763973236,0.050942160189151764,0.0,0.0,0.0,0.0,4432.0,0.0,307.0,3384,34.346500158309944,21_J_exp32,21_J.v1.l1.ds0.l_combo5.ds_combo0.idays30.odays7,16,Network 2,J,Min
82,82,1,1,0,5,0,60,1,0.048032749444246285,0.048032749444246285,0.0,0.0,0.0,0.0,630.0,0.0,42.0,3360,47.02662968635559,21_J_exp32,21_J.v1.l1.ds0.l_combo5.ds_combo0.idays60.odays1,22,Network 2,J,Min
83,83,1,1,0,5,0,60,7,0.049529965966939926,0.049529965966939926,0.0,0.0,0.0,0.0,4402.0,0.0,295.0,3354,32.783289194107056,21_J_exp32,21_J.v1.l1.ds0.l_combo5.ds_combo0.idays60.odays7,15,Network 2,J,Min
102,102,1,1,0,10,0,60,1,0.08897943794727325,0.08897943794727325,0.8647058787354135,0.8448275923728943,0.8855421543121338,147.0,214.0,27.0,19.0,2032,65.65513157844542,21_M_exp32,21_M.v1.l1.ds0.l_combo10.ds_combo0.idays60.odays1,50,Network 2,M,Max
2,2,1,1,0,0,0,60,1,0.054897308349609375,0.054897308349609375,0.0,0.0,0.0,0.0,592.0,0.0,60.0,3257,29.117597103118896,21_V_exp8,21_V.v1.l1.ds0.l_combo0.ds_combo0.idays60.odays1,14,Network 3,V,Min
20,20,1,1,0,5,0,30,1,0.04779205843806267,0.04779205843806267,0.0,0.0,0.0,0.0,634.0,0.0,44.0,3390,59.05457901954651,21_V_exp8,21_V.v1.l1.ds0.l_combo5.ds_combo0.idays30.odays1,28,Network 3,V,Min
21,21,1,1,0,5,0,30,7,0.0515948124229908,0.0515948086977005,0.0,0.0,0.0,0.0,4432.0,0.0,307.0,3384,56.7195611000061,21_V_exp8,21_V.v1.l1.ds0.l_combo5.ds_combo0.idays30.odays7,26,Network 3,V,Min
22,22,1,1,0,5,0,60,1,0.047202467918395996,0.047202467918395996,0.0,0.0,0.0,0.0,630.0,0.0,42.0,3360,57.57736468315125,21_V_exp8,21_V.v1.l1.ds0.l_combo5.ds_combo0.idays60.odays1,27,Network 3,V,Min
63,63,1,1,0,0,0,60,7,0.061682183295488364,0.06168217957019806,0.0,0.0,0.0,0.0,4129.0,0.0,428.0,3251,31.68854260444641,21_V_exp32,21_V.v1.l1.ds0.l_combo0.ds_combo0.idays60.odays7,15,Network 3,V,Min
121,121,1,1,0,0,0,30,7,0.07015283405780792,0.07015284895896913,0.0,0.0,0.0,0.0,4147.0,0.0,452.0,3281,30.056761503219604,21_V_exp64,21_V.v1.l1.ds0.l_combo0.ds_combo0.idays30.odays7,14,Network 3,V,Min
141,141,1,1,0,5,0,30,7,0.05224364250898361,0.052243638783693314,0.0,0.0,0.0,0.0,4432.0,0.0,307.0,3384,55.57734274864197,21_V_exp64,21_V.v1.l1.ds0.l_combo5.ds_combo0.idays30.odays7,26,Network 3,V,Min
102,102,1,1,0,10,0,60,1,0.08026780188083649,0.08026780188083649,0.8731563532562296,0.8554913401603699,0.891566276550293,148.0,216.0,25.0,18.0,2032,131.04877281188965,21_V_exp32,21_V.v1.l1.ds0.l_combo10.ds_combo0.idays60.odays1,100,Network 3,V,Max
22,22,1,1,0,5,0,60,1,0.04843005537986755,0.04843005537986755,0.0,0.0,0.0,0.0,630.0,0.0,42.0,3360,46.70188665390015,21_M_exp8,21_M.v1.l1.ds0.l_combo5.ds_combo0.idays60.odays1,22,Network 4,M,Min
81,81,1,1,0,5,0,30,7,0.05132750794291496,0.05132751166820526,0.0,0.0,0.0,0.0,4432.0,0.0,307.0,3384,40.42292261123657,21_M_exp32,21_M.v1.l1.ds0.l_combo5.ds_combo0.idays30.odays7,19,Network 4,M,Min
83,83,1,1,0,5,0,60,7,0.05087687447667122,0.05087687075138092,0.0,0.0,0.0,0.0,4402.0,0.0,295.0,3354,32.760106325149536,21_M_exp32,21_M.v1.l1.ds0.l_combo5.ds_combo0.idays60.odays7,15,Network 4,M,Min
143,143,1,1,0,5,0,60,7,0.05013412609696388,0.050134122371673584,0.0,0.0,0.0,0.0,4402.0,0.0,295.0,3354,30.759209156036377,21_M_exp64,21_M.v1.l1.ds0.l_combo5.ds_combo0.idays60.odays7,14,Network 4,M,Min
102,102,1,1,0,10,0,60,1,0.08897943794727325,0.08897943794727325,0.8647058787354135,0.8448275923728943,0.8855421543121338,147.0,214.0,27.0,19.0,2032,65.65513157844542,21_M_exp32,21_M.v1.l1.ds0.l_combo10.ds_combo0.idays60.odays1,50,Network 4,M,Max
