letter,input_days,output_days,experiment_name,weighted_metric
W,30,1,9_W_exp8,0.012278411537408829
W,30,1,9_W_exp32,0.013033215887844564
W,30,1,9_W_exp64,0.013709272257983685
W,30,7,9_W_exp8,0.01730920746922493
W,30,7,9_W_exp32,0.016873203217983246
W,30,7,9_W_exp64,0.015622529201209543
W,60,1,9_W_exp8,0.012965701520442964
W,60,1,9_W_exp32,0.012273232452571392
W,60,1,9_W_exp64,0.01284177042543888
W,60,7,9_W_exp8,0.017234323546290398
W,60,7,9_W_exp32,0.015708575025200844
W,60,7,9_W_exp64,0.014615721069276331
