letter,input_days,output_days,experiment_name,weighted_metric
AD,30,1,9_AD_exp8,0.012740800157189371
AD,30,1,9_AD_exp32,0.011470623314380646
AD,30,1,9_AD_exp64,0.012886797077953815
AD,30,7,9_AD_exp8,0.01694924384355545
AD,30,7,9_AD_exp32,0.014716570265591145
AD,30,7,9_AD_exp64,0.013950600288808346
AD,60,1,9_AD_exp8,0.01338286604732275
AD,60,1,9_AD_exp32,0.01183909736573696
AD,60,1,9_AD_exp64,0.011649749241769314
AD,60,7,9_AD_exp8,0.016524212434887886
AD,60,7,9_AD_exp32,0.015614092350006104
AD,60,7,9_AD_exp64,0.01426056958734989
