letter,input_days,output_days,experiment_name,weighted_metric
Q,30,1,9_Q_exp8,0.01206545703309147
Q,30,1,9_Q_exp32,0.01393834092658744
Q,30,1,9_Q_exp64,0.013912800603666516
Q,30,7,9_Q_exp8,0.01702447276134668
Q,30,7,9_Q_exp32,0.015750822105387037
Q,30,7,9_Q_exp64,0.01557180339483874
Q,60,1,9_Q_exp8,0.01330386023215379
Q,60,1,9_Q_exp32,0.012898589394157799
Q,60,1,9_Q_exp64,0.01282619414672826
Q,60,7,9_Q_exp8,0.017099207257138985
Q,60,7,9_Q_exp32,0.015316155685655523
Q,60,7,9_Q_exp64,0.01580275234690551
