,Date,Year,YearDay,Hours,RECORD,Flag_RECORD,Sitename,Batt_V_Min,Flag_Batt_V_Min,Batt_V_TMn,Ptemp_C_Avg,Flag_Ptemp_C_Avg,Air_TempC_Avg,Flag_Air_TempC_Avg,Air_TempC_Max,Flag_Air_TempC_Max,Air_TempC_Min,Flag_Air_TempC_Min,Relative_Humidity_Avg,Flag_Relative_Humidity_Avg,Relative_Humidity_Max,Flag_Relative_Humidity_Max,Relative_Humidity_Min,Flag_Relative_Humidity_Min,Ppt_mm_Tot,Flag_Ppt_mm_Tot,Ws_Mean_300cm,Flag_Ws_Mean_300cm,Ws_mean_Resultant_300cm,Flag_Ws_mean_Resultant_300cm,WinDir_mean_Resultant,Flag_WinDir_mean_Resultant,WinDir_Std_Dev,Flag_WinDir_Std_Dev,WS_ms_75cm_Avg,Flag_WS_ms_75cm_Avg,WS_ms_150cm_Avg,Flag_WS_ms_150cm_Avg,WS_ms_300cm_Avg,Flag_WS_ms_300cm_Avg,WS_ms_75cm_Max,Flag_WS_ms_75cm_Max,WS_ms_150cm_Max,Flag_WS_ms_150cm_Max,WS_ms_300cm_Max,Flag_WS_ms_300cm_Max,WS_ms_75cm_Min,Flag_WS_ms_75cm_Min,WS_ms_150cm_Min,Flag_WS_ms_150cm_Min,WS_ms_300cm_Min,Flag_WS_ms_300cm_Min,Date_datetime,Batt_V_TMn_datetime
3090,2022-02-11 00:00:00,2022,42,23.9997,912.0,A,"0       1500
1       1500
2       1500
3       1500
4       1500
        ... 
3383    1500
3384    1500
3385    1500
3386    1500
3387    1500
Name: Sitename, Length: 3388, dtype: int64",12.78,A,2022-02-11 06:48:52,8.09,A,7.94,A,21.06,A,-6.14,A,28.84,A,50.23,A,11.53,A,0.0,A,2.004,A,1.585,A,338.0,A,32.74,A,0.9620000000000001,A,1.101,A,2.003,A,7.072,A,8.58,A,10.08,A,0.0,A,0.0,A,0.0,A,2022-02-11 00:00:00,2022-02-11 06:48:52
3091,2022-02-12 00:00:00,2022,43,23.9997,913.0,A,"0       1500
1       1500
2       1500
3       1500
4       1500
        ... 
3383    1500
3384    1500
3385    1500
3386    1500
3387    1500
Name: Sitename, Length: 3388, dtype: int64",12.85,A,2022-02-12 06:49:11,7.55,A,6.47,A,15.65,A,-1.01,A,42.93,A,68.62,A,25.19,A,0.0,A,2.218,A,0.14800000000000002,A,64.0,A,72.57,A,1.215,A,1.263,A,2.217,A,7.82,A,8.58,A,10.83,A,0.0,A,0.0,A,0.0,A,2022-02-12 00:00:00,2022-02-12 06:49:11
3092,2022-02-13 00:00:00,2022,44,23.9997,914.0,A,"0       1500
1       1500
2       1500
3       1500
4       1500
        ... 
3383    1500
3384    1500
3385    1500
3386    1500
3387    1500
Name: Sitename, Length: 3388, dtype: int64",12.76,A,2022-02-13 06:38:50,5.53,A,4.66,A,18.21,A,-8.02,A,45.86,A,81.6,A,16.32,A,0.0,A,1.2590000000000001,A,0.521,A,242.0,A,51.97,A,0.59,A,0.49200000000000005,A,1.2590000000000001,A,5.5760000000000005,A,6.337999999999999,A,7.0920000000000005,A,0.0,A,0.0,A,0.0,A,2022-02-13 00:00:00,2022-02-13 06:38:50
3093,2022-02-14 00:00:00,2022,45,23.9997,915.0,A,"0       1500
1       1500
2       1500
3       1500
4       1500
        ... 
3383    1500
3384    1500
3385    1500
3386    1500
3387    1500
Name: Sitename, Length: 3388, dtype: int64",12.75,A,2022-02-14 06:38:38,6.93,A,6.8,A,20.82,A,-7.8,A,31.68,A,63.0,A,8.65,A,0.0,A,1.557,A,0.7859999999999999,A,229.0,A,48.22,A,0.795,A,0.7559999999999999,A,1.557,A,6.324,A,7.084,A,7.84,A,0.0,A,0.0,A,0.0,A,2022-02-14 00:00:00,2022-02-14 06:38:38
3094,2022-02-15 00:00:00,2022,46,23.9997,916.0,A,"0       1500
1       1500
2       1500
3       1500
4       1500
        ... 
3383    1500
3384    1500
3385    1500
3386    1500
3387    1500
Name: Sitename, Length: 3388, dtype: int64",12.78,A,2022-02-15 06:44:42,9.94,A,10.67,A,23.88,A,-4.72,A,19.79,A,39.83,A,6.05,A,0.0,A,3.505,A,2.8689999999999998,A,232.0,A,31.81,A,2.092,A,2.487,A,3.5060000000000002,A,12.31,A,13.8,A,15.32,A,0.0,A,0.0,A,0.0,A,2022-02-15 00:00:00,2022-02-15 06:44:42
3095,2022-02-16 00:00:00,2022,47,23.9997,917.0,A,"0       1500
1       1500
2       1500
3       1500
4       1500
        ... 
3383    1500
3384    1500
3385    1500
3386    1500
3387    1500
Name: Sitename, Length: 3388, dtype: int64",12.83,A,2022-02-16 06:21:34,8.33,A,8.96,A,19.62,A,-2.26,A,31.78,A,60.23,A,9.92,A,0.0,A,5.064,A,4.316,A,251.0,A,27.5,A,3.14,A,3.908,A,5.064,A,14.55,A,17.53,A,21.3,A,0.0,A,0.0,A,0.0,A,2022-02-16 00:00:00,2022-02-16 06:21:34
3096,2022-02-17 00:00:00,2022,48,23.9997,918.0,A,"0       1500
1       1500
2       1500
3       1500
4       1500
        ... 
3383    1500
3384    1500
3385    1500
3386    1500
3387    1500
Name: Sitename, Length: 3388, dtype: int64",12.83,A,2022-02-17 06:22:24,5.4,A,4.51,A,12.02,A,-2.29,A,58.15,A,83.7,A,27.98,A,0.0,A,1.995,A,0.231,A,228.0,A,69.8,A,1.037,A,0.9670000000000001,A,1.994,A,7.82,A,8.58,A,10.08,A,0.0,A,0.0,A,0.0,A,2022-02-17 00:00:00,2022-02-17 06:22:24
3097,2022-02-18 00:00:00,2022,49,23.9997,919.0,A,"0       1500
1       1500
2       1500
3       1500
4       1500
        ... 
3383    1500
3384    1500
3385    1500
3386    1500
3387    1500
Name: Sitename, Length: 3388, dtype: int64",12.77,A,2022-02-18 06:22:30,5.0,A,4.01,A,17.34,A,-7.84,A,40.25,A,77.85,A,9.89,A,0.0,A,1.4609999999999999,A,0.95,A,322.0,A,42.63,A,0.5770000000000001,A,0.41700000000000004,A,1.4609999999999999,A,4.828,A,6.337999999999999,A,7.84,A,0.0,A,0.0,A,0.0,A,2022-02-18 00:00:00,2022-02-18 06:22:30
3098,2022-02-19 00:00:00,2022,50,23.9997,920.0,A,"0       1500
1       1500
2       1500
3       1500
4       1500
        ... 
3383    1500
3384    1500
3385    1500
3386    1500
3387    1500
Name: Sitename, Length: 3388, dtype: int64",12.77,A,2022-02-19 06:43:02,6.16,A,5.62,A,18.67,A,-6.7,A,25.96,A,42.45,A,8.87,A,0.0,A,1.3880000000000001,A,0.415,A,255.0,A,57.39,A,0.632,A,0.53,A,1.3880000000000001,A,5.5760000000000005,A,6.337999999999999,A,7.0920000000000005,A,0.0,A,0.0,A,0.0,A,2022-02-19 00:00:00,2022-02-19 06:43:02
3099,2022-02-20 00:00:00,2022,51,23.9997,921.0,A,"0       1500
1       1500
2       1500
3       1500
4       1500
        ... 
3383    1500
3384    1500
3385    1500
3386    1500
3387    1500
Name: Sitename, Length: 3388, dtype: int64",12.77,A,2022-02-20 06:49:22,9.51,A,9.47,A,22.41,A,-6.03,A,20.11,A,36.01,A,7.57,A,0.0,A,2.391,A,1.9340000000000002,A,239.0,A,31.87,A,1.311,A,1.4240000000000002,A,2.3890000000000002,A,8.57,A,10.07,A,12.33,A,0.0,A,0.0,A,0.0,A,2022-02-20 00:00:00,2022-02-20 06:49:22
3100,2022-02-21 00:00:00,2022,52,23.9997,922.0,A,"0       1500
1       1500
2       1500
3       1500
4       1500
        ... 
3383    1500
3384    1500
3385    1500
3386    1500
3387    1500
Name: Sitename, Length: 3388, dtype: int64",12.86,A,2022-02-21 06:55:49,10.92,A,11.15,A,19.38,A,1.24,A,23.96,A,49.66,A,15.31,A,0.0,A,5.183,A,4.449,A,250.0,A,29.7,A,3.023,A,3.738,A,5.183,A,12.31,A,14.54,A,16.82,A,0.0,A,0.0,A,0.0,A,2022-02-21 00:00:00,2022-02-21 06:55:49
3101,2022-02-22 00:00:00,2022,53,23.9997,923.0,A,"0       1500
1       1500
2       1500
3       1500
4       1500
        ... 
3383    1500
3384    1500
3385    1500
3386    1500
3387    1500
Name: Sitename, Length: 3388, dtype: int64",12.89,A,2022-02-22 06:22:18,11.25,A,11.31,A,20.41,A,3.24,A,34.49,A,67.68,A,7.73,A,0.0,A,4.604,A,4.067,A,231.0,A,27.29,A,2.862,A,3.34,A,4.606,A,12.31,A,13.8,A,16.07,A,0.0,A,0.0,A,0.0,A,2022-02-22 00:00:00,2022-02-22 06:22:18
3102,2022-02-23 00:00:00,2022,54,23.9997,924.0,A,"0       1500
1       1500
2       1500
3       1500
4       1500
        ... 
3383    1500
3384    1500
3385    1500
3386    1500
3387    1500
Name: Sitename, Length: 3388, dtype: int64",12.87,A,2022-02-23 06:37:33,10.52,A,11.12,A,21.36,A,0.42,A,24.66,A,47.87,A,7.09,A,0.0,A,5.375,A,4.72,A,216.0,A,27.03,A,3.398,A,4.075,A,5.375,A,15.3,A,17.53,A,19.81,A,0.0,A,0.0,A,0.0,A,2022-02-23 00:00:00,2022-02-23 06:37:33
3103,2022-02-24 00:00:00,2022,55,23.9997,925.0,A,"0       1500
1       1500
2       1500
3       1500
4       1500
        ... 
3383    1500
3384    1500
3385    1500
3386    1500
3387    1500
Name: Sitename, Length: 3388, dtype: int64",12.88,A,2022-02-24 06:23:52,6.13,A,5.39,A,12.16,A,-6.28,A,28.54,A,57.61,A,9.48,A,0.0,A,2.7680000000000002,A,1.993,A,311.0,A,38.8,A,1.6380000000000001,A,1.817,A,2.767,A,12.31,A,14.54,A,15.32,A,0.0,A,0.0,A,0.0,A,2022-02-24 00:00:00,2022-02-24 06:23:52
3104,2022-02-25 00:00:00,2022,56,23.9997,926.0,A,"0       1500
1       1500
2       1500
3       1500
4       1500
        ... 
3383    1500
3384    1500
3385    1500
3386    1500
3387    1500
Name: Sitename, Length: 3388, dtype: int64",12.77,A,2022-02-25 06:34:49,4.64,A,4.45,A,16.3,A,-7.31,A,22.37,A,38.3,A,12.72,A,0.0,A,1.641,A,0.48200000000000004,A,222.0,A,58.31,A,0.85,A,0.858,A,1.641,A,6.324,A,7.084,A,7.84,A,0.0,A,0.0,A,0.0,A,2022-02-25 00:00:00,2022-02-25 06:34:49
3105,2022-02-26 00:00:00,2022,57,23.9997,927.0,A,"0       1500
1       1500
2       1500
3       1500
4       1500
        ... 
3383    1500
3384    1500
3385    1500
3386    1500
3387    1500
Name: Sitename, Length: 3388, dtype: int64",12.76,A,2022-02-26 06:23:26,8.14,A,7.23,A,20.27,A,-7.78,A,25.92,A,48.56,A,8.91,A,0.0,A,1.67,A,1.09,A,314.0,A,40.85,A,0.912,A,0.8320000000000001,A,1.67,A,10.06,A,9.32,A,9.34,A,0.0,A,0.0,A,0.0,A,2022-02-26 00:00:00,2022-02-26 06:23:26
3106,2022-02-27 00:00:00,2022,58,23.9997,928.0,A,"0       1500
1       1500
2       1500
3       1500
4       1500
        ... 
3383    1500
3384    1500
3385    1500
3386    1500
3387    1500
Name: Sitename, Length: 3388, dtype: int64",12.84,A,2022-02-27 06:30:09,9.41,A,8.53,A,18.89,A,-1.77,A,15.57,A,24.54,A,8.04,A,0.0,A,2.252,A,1.82,A,342.0,A,30.55,A,1.275,A,1.306,A,2.251,A,6.324,A,7.83,A,10.08,A,0.0,A,0.0,A,0.0,A,2022-02-27 00:00:00,2022-02-27 06:30:09
