,letter,input_days,output_days,experiment_name,weighted_metric,mean_metric,min_or_max
3,J,30,7,14_J_exp8,0.8701953371365865,0.8903219666745926,Min
11,J,60,7,14_J_exp64,0.9082330624262492,0.8903219666745926,Max
3,V,30,7,14_V_exp8,0.8744990587234497,0.887511905034383,Min
11,V,60,7,14_V_exp64,0.9024367849032084,0.887511905034383,Max
2,G,30,1,14_G_exp64,0.9008051753044128,0.9208502322435379,Min
5,G,30,7,14_G_exp64,0.9444752931594848,0.9208502322435379,Max
9,T,60,7,14_T_exp8,0.889983594417572,0.9113454669713974,Min
11,T,60,7,14_T_exp64,0.9377433657646179,0.9113454669713974,Max
2,W,30,1,14_W_exp64,0.8837358951568604,0.9106384168068568,Min
5,W,30,7,14_W_exp64,0.9317614436149596,0.9106384168068568,Max
