,Slate,Model Letter,Network,Separation_Scheme,Mean Metric,Best Metric,Best Input Days,Best Output Days,Best Base
0,16,A,1,4,0.01516588164183001,0.01241573505103588,60,1,64
1,16,B,1,3,0.015314199589267137,0.012672198417208841,60,1,32
2,16,C,1,2,0.015542459602139453,0.013022261952455537,30,1,64
3,16,D,1,1,0.015766137713667427,0.013347835370236963,30,1,64
4,16,F,2,2,0.015793689591137982,0.01319008177863746,60,1,64
5,16,G,2,4,0.015406524296849966,0.012514989823102951,30,1,32
6,16,I,2,1,0.03041222771634147,0.024849754083081724,30,7,32
7,16,J,2,3,0.016054946377404046,0.013417293380001234,30,1,32
8,16,M,2,3,0.015533495794660882,0.012982157883390284,30,1,64
9,16,N,2,4,0.01514608048213025,0.012435478158295156,60,1,64
10,16,Q,2,2,0.015628377750365175,0.013184481020794031,30,1,64
11,16,T,3,4,0.015493832994252443,0.012541089206933977,60,1,64
12,16,V,3,3,0.016086482001948312,0.013385087492292006,30,1,64
13,16,W,3,4,0.015277897861475744,0.012433239258825779,30,1,64
14,16,Y,3,4,0.015236941321442526,0.01244999747723341,30,1,64
15,16,AA,3,2,0.015604664168307228,0.01307567837313887,60,1,64
16,16,AB,3,4,0.015269222591693204,0.01250849850475788,60,1,64
17,16,AD,4,4,0.01565617974847555,0.012516268528997898,30,1,64
