,letter,input_days,output_days,experiment_name,weighted_metric,mean_metric,min_or_max
2,J,30,1,24_J_exp64,0.013366263841042678,0.015865901939049538,Min
3,J,30,7,24_J_exp8,0.01851781011162477,0.015865901939049538,Max
1,V,30,1,24_V_exp32,0.013346174950198979,0.01587368144528967,Min
9,V,60,7,24_V_exp8,0.018424912351384118,0.01587368144528967,Max
8,G,60,1,24_G_exp64,0.012359514832496643,0.01550579466857016,Min
9,G,60,7,24_G_exp8,0.01885254308581352,0.01550579466857016,Max
2,T,30,1,24_T_exp64,0.012531828135251999,0.015421660849824548,Min
10,T,60,7,24_T_exp32,0.01853824965655804,0.015421660849824548,Max
8,W,60,1,24_W_exp64,0.0123703945428133,0.015080819216867289,Min
9,W,60,7,24_W_exp8,0.01751035451889038,0.015080819216867289,Max
