letter,input_days,output_days,experiment_name,weighted_metric
C,30,1,23_C_exp8,0.4901914458638652
C,30,1,23_C_exp32,0.4752732202790802
C,30,1,23_C_exp64,0.47948037478092714
C,30,7,23_C_exp8,0.48106663472687666
C,30,7,23_C_exp32,0.4737647406802799
C,30,7,23_C_exp64,0.48648355040565133
C,60,1,23_C_exp8,0.604892974206873
C,60,1,23_C_exp32,0.4936183047335824
C,60,1,23_C_exp64,0.5666224980616222
C,60,7,23_C_exp8,0.5003081051777284
C,60,7,23_C_exp32,0.5641521825302989
C,60,7,23_C_exp64,0.49722177415488894
