,Slate,Model Letter,Network,Separation_Scheme,Mean Metric,Best Metric,Best Input Days,Best Output Days,Best Base
0,19,A,1,4,0.7920658303444778,0.8395592621046667,30,1,64
1,19,B,1,3,0.668955051176114,0.7438239215893883,30,1,64
2,19,C,1,2,0.5696925341569815,0.6525075102454783,60,7,64
3,19,F,2,2,0.5078069484775523,0.5772917028001979,60,1,8
4,19,G,2,4,0.7870255027981465,0.8384575507301653,60,1,64
5,19,J,2,3,0.646223023257161,0.7215829144847494,30,1,64
6,19,M,2,3,0.6565043879201232,0.7263636883085032,30,1,8
7,19,N,2,4,0.799975482151785,0.8425600972022872,30,1,64
8,19,Q,2,2,0.5031039928306081,0.5694313708897755,30,7,32
9,19,T,3,4,0.7876840724897582,0.8308721173570403,30,1,8
10,19,V,3,3,0.6422641871867555,0.7179431549532772,30,1,64
11,19,W,3,4,0.8046858337046271,0.844108569152264,60,1,64
12,19,Y,3,4,0.8003437859904398,0.8450860614267484,60,1,64
13,19,AA,3,2,0.4976582809928753,0.5683579172696679,30,7,32
14,19,AB,3,4,0.7978567687103096,0.8467153074428032,60,1,64
15,19,AD,4,4,0.7830029897639119,0.8325123083860779,60,1,8
