,Unnamed: 0,version,location_scheme,datastream_scheme,l_combo,ds_combo,input_days,output_days,loss,mse,f1,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs,network,letter,Max_or_Min
81,81,1,1,0,5,0,30,7,0.05140599980950356,0.051405996084213264,0.0,0.0,0.0,0.0,4432.0,0.0,307.0,3384,31.99167442321777,19_B_exp32,19_B.v1.l1.ds0.l_combo5.ds_combo0.idays30.odays7,15,Network 1,B,Min
83,83,1,1,0,5,0,60,7,0.05169828236103058,0.051698289811611176,0.0,0.0,0.0,0.0,4402.0,0.0,295.0,3354,32.500306606292725,19_B_exp32,19_B.v1.l1.ds0.l_combo5.ds_combo0.idays60.odays7,15,Network 1,B,Min
141,141,1,1,0,5,0,30,7,0.05158815532922745,0.05158815160393715,0.0,0.0,0.0,0.0,4432.0,0.0,307.0,3384,36.09702134132385,19_B_exp64,19_B.v1.l1.ds0.l_combo5.ds_combo0.idays30.odays7,17,Network 1,B,Min
143,143,1,1,0,5,0,60,7,0.04873795434832573,0.04873795062303543,0.0,0.0,0.0,0.0,4402.0,0.0,295.0,3354,36.91264414787293,19_B_exp64,19_B.v1.l1.ds0.l_combo5.ds_combo0.idays60.odays7,17,Network 1,B,Min
102,102,1,1,0,10,0,60,1,0.08533503860235214,0.08533503860235214,0.8771929956282347,0.8522727489471436,0.9036144614219666,150.0,215.0,26.0,16.0,2032,102.12478971481323,19_B_exp32,19_B.v1.l1.ds0.l_combo10.ds_combo0.idays60.odays1,79,Network 1,B,Max
21,21,1,1,0,5,0,30,7,0.05124563351273537,0.05124564096331597,0.0,0.0,0.0,0.0,4432.0,0.0,307.0,3384,59.832963705062866,19_J_exp8,19_J.v1.l1.ds0.l_combo5.ds_combo0.idays30.odays7,28,Network 2,J,Min
22,22,1,1,0,5,0,60,1,0.04824165627360344,0.04824165627360344,0.0,0.0,0.0,0.0,630.0,0.0,42.0,3360,45.22078680992127,19_J_exp8,19_J.v1.l1.ds0.l_combo5.ds_combo0.idays60.odays1,21,Network 2,J,Min
23,23,1,1,0,5,0,60,7,0.05103582888841629,0.05103582888841629,0.0,0.0,0.0,0.0,4402.0,0.0,295.0,3354,66.89942908287047,19_J_exp8,19_J.v1.l1.ds0.l_combo5.ds_combo0.idays60.odays7,31,Network 2,J,Min
60,60,1,1,0,0,0,30,1,0.06470094621181488,0.06470094621181488,0.0,0.0,0.0,0.0,594.0,0.0,64.0,3287,30.657408237457275,19_J_exp32,19_J.v1.l1.ds0.l_combo0.ds_combo0.idays30.odays1,15,Network 2,J,Min
61,61,1,1,0,0,0,30,7,0.06631231307983397,0.06631229817867279,0.0,0.0,0.0,0.0,4147.0,0.0,452.0,3281,29.271009922027588,19_J_exp32,19_J.v1.l1.ds0.l_combo0.ds_combo0.idays30.odays7,14,Network 2,J,Min
62,62,1,1,0,0,0,60,1,0.06176458299160004,0.06176458299160004,0.0,0.0,0.0,0.0,592.0,0.0,60.0,3257,29.17049264907837,19_J_exp32,19_J.v1.l1.ds0.l_combo0.ds_combo0.idays60.odays1,14,Network 2,J,Min
63,63,1,1,0,0,0,60,7,0.06310014426708221,0.06310014426708221,0.0,0.0,0.0,0.0,4129.0,0.0,428.0,3251,27.792739868164066,19_J_exp32,19_J.v1.l1.ds0.l_combo0.ds_combo0.idays60.odays7,13,Network 2,J,Min
81,81,1,1,0,5,0,30,7,0.05408057570457458,0.05408057942986488,0.0,0.0,0.0,0.0,4432.0,0.0,307.0,3384,31.9613573551178,19_J_exp32,19_J.v1.l1.ds0.l_combo5.ds_combo0.idays30.odays7,15,Network 2,J,Min
83,83,1,1,0,5,0,60,7,0.0516437292098999,0.0516437254846096,0.0,0.0,0.0,0.0,4402.0,0.0,295.0,3354,37.270461797714226,19_J_exp32,19_J.v1.l1.ds0.l_combo5.ds_combo0.idays60.odays7,17,Network 2,J,Min
123,123,1,1,0,0,0,60,7,0.06272090971469879,0.06272091716527939,0.0,0.0,0.0,0.0,4129.0,0.0,428.0,3251,27.23250532150269,19_J_exp64,19_J.v1.l1.ds0.l_combo0.ds_combo0.idays60.odays7,13,Network 2,J,Min
141,141,1,1,0,5,0,30,7,0.05108758807182312,0.05108758807182312,0.0,0.0,0.0,0.0,4432.0,0.0,307.0,3384,32.30728793144226,19_J_exp64,19_J.v1.l1.ds0.l_combo5.ds_combo0.idays30.odays7,15,Network 2,J,Min
154,154,1,1,0,8,0,60,1,0.05826125666499137,0.05826125666499137,0.8631578943625926,0.7935484051704407,0.9461538195610046,123.0,352.0,32.0,7.0,2568,122.516934633255,19_M_exp64,19_M.v1.l1.ds0.l_combo8.ds_combo0.idays60.odays1,75,Network 2,M,Max
0,0,1,1,0,0,0,30,1,0.06914632767438889,0.06914632767438889,0.0,0.0,0.0,0.0,594.0,0.0,64.0,3287,32.52917313575745,19_V_exp8,19_V.v1.l1.ds0.l_combo0.ds_combo0.idays30.odays1,16,Network 3,V,Min
3,3,1,1,0,0,0,60,7,0.0667237862944603,0.0667237788438797,0.0,0.0,0.0,0.0,4129.0,0.0,428.0,3251,54.04023456573486,19_V_exp8,19_V.v1.l1.ds0.l_combo0.ds_combo0.idays60.odays7,26,Network 3,V,Min
22,22,1,1,0,5,0,60,1,0.04837275296449661,0.04837275296449661,0.0,0.0,0.0,0.0,630.0,0.0,42.0,3360,33.825302124023445,19_V_exp8,19_V.v1.l1.ds0.l_combo5.ds_combo0.idays60.odays1,16,Network 3,V,Min
63,63,1,1,0,0,0,60,7,0.06206376478075981,0.062063772231340415,0.0,0.0,0.0,0.0,4129.0,0.0,428.0,3251,29.437450170516968,19_V_exp32,19_V.v1.l1.ds0.l_combo0.ds_combo0.idays60.odays7,14,Network 3,V,Min
81,81,1,1,0,5,0,30,7,0.05221787095069885,0.05221787467598915,0.0,0.0,0.0,0.0,4432.0,0.0,307.0,3384,32.937435388565056,19_V_exp32,19_V.v1.l1.ds0.l_combo5.ds_combo0.idays30.odays7,15,Network 3,V,Min
83,83,1,1,0,5,0,60,7,0.051091860979795456,0.05109185725450517,0.0,0.0,0.0,0.0,4402.0,0.0,295.0,3354,35.18462133407593,19_V_exp32,19_V.v1.l1.ds0.l_combo5.ds_combo0.idays60.odays7,16,Network 3,V,Min
121,121,1,1,0,0,0,30,7,0.0678127184510231,0.0678127259016037,0.0,0.0,0.0,0.0,4147.0,0.0,452.0,3281,29.435208797454834,19_V_exp64,19_V.v1.l1.ds0.l_combo0.ds_combo0.idays30.odays7,14,Network 3,V,Min
141,141,1,1,0,5,0,30,7,0.05034035071730614,0.05034034699201584,0.0,0.0,0.0,0.0,4432.0,0.0,307.0,3384,34.171661376953125,19_V_exp64,19_V.v1.l1.ds0.l_combo5.ds_combo0.idays30.odays7,16,Network 3,V,Min
163,163,1,1,0,10,0,60,7,0.0880223885178566,0.0880223959684372,0.8715447262400113,0.8201989531517029,0.9297484755516052,1072.0,1454.0,235.0,81.0,2026,24.15435242652893,19_V_exp64,19_V.v1.l1.ds0.l_combo10.ds_combo0.idays60.odays7,18,Network 3,V,Max
21,21,1,1,0,5,0,30,7,0.0575011670589447,0.057501170784235,0.0,0.0,0.0,0.0,4432.0,0.0,307.0,3384,34.75248670578003,19_M_exp8,19_M.v1.l1.ds0.l_combo5.ds_combo0.idays30.odays7,16,Network 4,M,Min
63,63,1,1,0,0,0,60,7,0.05935359373688698,0.059353601187467575,0.0,0.0,0.0,0.0,4129.0,0.0,428.0,3251,56.02973437309265,19_M_exp32,19_M.v1.l1.ds0.l_combo0.ds_combo0.idays60.odays7,27,Network 4,M,Min
81,81,1,1,0,5,0,30,7,0.05129125341773033,0.05129125714302063,0.0,0.0,0.0,0.0,4432.0,0.0,307.0,3384,30.45060515403748,19_M_exp32,19_M.v1.l1.ds0.l_combo5.ds_combo0.idays30.odays7,14,Network 4,M,Min
83,83,1,1,0,5,0,60,7,0.0481223501265049,0.0481223501265049,0.0,0.0,0.0,0.0,4402.0,0.0,295.0,3354,67.42172312736511,19_M_exp32,19_M.v1.l1.ds0.l_combo5.ds_combo0.idays60.odays7,31,Network 4,M,Min
141,141,1,1,0,5,0,30,7,0.050388894975185394,0.050388898700475686,0.0,0.0,0.0,0.0,4432.0,0.0,307.0,3384,49.17996072769165,19_M_exp64,19_M.v1.l1.ds0.l_combo5.ds_combo0.idays30.odays7,23,Network 4,M,Min
143,143,1,1,0,5,0,60,7,0.052272286266088486,0.052272289991378784,0.0,0.0,0.0,0.0,4402.0,0.0,295.0,3354,54.89644575119018,19_M_exp64,19_M.v1.l1.ds0.l_combo5.ds_combo0.idays60.odays7,25,Network 4,M,Min
154,154,1,1,0,8,0,60,1,0.05826125666499137,0.05826125666499137,0.8631578943625926,0.7935484051704407,0.9461538195610046,123.0,352.0,32.0,7.0,2568,122.516934633255,19_M_exp64,19_M.v1.l1.ds0.l_combo8.ds_combo0.idays60.odays1,75,Network 4,M,Max
