,letter,stdev base 8,stdev base 32,stdev base 64
0,C,0.34357606061139917,0.3076263241321653,0.31279173010588046
1,F,0.3778154666656529,0.33128068631565766,0.3337883364910524
2,Q,0.36017590498902124,0.35854193163303294,0.34993926907561873
3,AA,0.351733509340397,0.34995408202053796,0.3610007356906079
4,B,0.19139011445798618,0.19762266816273633,0.19913702941302702
5,J,0.22747259830756997,0.24108476350333577,0.2007604314564499
6,M,0.21009038129451418,0.2171476666700853,0.20467121507095584
7,V,0.2351589385854781,0.2186185238645,0.2067934667324366
8,A,0.03161506273091209,0.05145684945738195,0.04059033879499841
9,G,0.050033987386099016,0.038657385606839824,0.04283287939901443
10,N,0.04272319708197716,0.03163917388351408,0.03980521410373319
11,T,0.03102086608727513,0.05047953901132386,0.028664997877485134
12,W,0.03176222684538209,0.04505845932692169,0.0426206724686569
13,Y,0.03912437668431451,0.043986723182983585,0.031050728776128172
14,AB,0.04376026858754052,0.04225232615377287,0.04014313206398125
15,AD,0.02820755159372243,0.02581259275451536,0.040219315560611736
