,letter,input_days,output_days,experiment_name,weighted_metric,mean_metric,min_or_max
3,C,30,7,19_C_exp8,0.34224724703807274,0.5696925341569815,Min
11,C,60,7,19_C_exp64,0.6525075102454783,0.5696925341569815,Max
3,F,30,7,19_F_exp8,0.3242765513652593,0.5078069484775523,Min
6,F,60,1,19_F_exp8,0.5772917028001979,0.5078069484775523,Max
9,Q,60,7,19_Q_exp8,0.3788901076282941,0.5031039928306081,Min
4,Q,30,7,19_Q_exp32,0.5694313708897755,0.5031039928306081,Max
9,AA,60,7,19_AA_exp8,0.2628677331260607,0.4976582809928753,Min
4,AA,30,7,19_AA_exp32,0.5683579172696679,0.4976582809928753,Max
5,B,30,7,19_B_exp64,0.5953704312860609,0.668955051176114,Min
2,B,30,1,19_B_exp64,0.7438239215893883,0.668955051176114,Max
4,J,30,7,19_J_exp32,0.5694530368686592,0.646223023257161,Min
2,J,30,1,19_J_exp64,0.7215829144847494,0.646223023257161,Max
5,M,30,7,19_M_exp64,0.5939300836100195,0.6565043879201232,Min
0,M,30,1,19_M_exp8,0.7263636883085032,0.6565043879201232,Max
5,V,30,7,19_V_exp64,0.5740893737347761,0.6422641871867555,Min
2,V,30,1,19_V_exp64,0.7179431549532772,0.6422641871867555,Max
4,A,30,7,19_A_exp32,0.7346287589015519,0.7920658303444778,Min
2,A,30,1,19_A_exp64,0.8395592621046667,0.7920658303444778,Max
3,G,30,7,19_G_exp8,0.7036194621168758,0.7870255027981465,Min
8,G,60,1,19_G_exp64,0.8384575507301653,0.7870255027981465,Max
9,N,60,7,19_N_exp8,0.7426908026559161,0.799975482151785,Min
2,N,30,1,19_N_exp64,0.8425600972022872,0.799975482151785,Max
4,T,30,7,19_T_exp32,0.7065947825728086,0.7876840724897582,Min
0,T,30,1,19_T_exp8,0.8308721173570403,0.7876840724897582,Max
4,W,30,7,19_W_exp32,0.745704489382853,0.8046858337046271,Min
8,W,60,1,19_W_exp64,0.844108569152264,0.8046858337046271,Max
4,Y,30,7,19_Y_exp32,0.7343851099176217,0.8003437859904398,Min
8,Y,60,1,19_Y_exp64,0.8450860614267484,0.8003437859904398,Max
3,AB,30,7,19_AB_exp8,0.7417901167453048,0.7978567687103096,Min
8,AB,60,1,19_AB_exp64,0.8467153074428032,0.7978567687103096,Max
5,AD,30,7,19_AD_exp64,0.7440123607813892,0.783002989763912,Min
6,AD,60,1,19_AD_exp8,0.8325123083860779,0.783002989763912,Max
