,letter,input_days,output_days,experiment_name,weighted_metric
8,AB,60,1,19_AB_exp64,0.8467153074428032
11,C,60,7,19_C_exp64,0.6525075102454783
2,B,30,1,19_B_exp64,0.7438239215893883
