,Unnamed: 0,version,location_scheme,datastream_scheme,l_combo,ds_combo,input_days,output_days,loss,mse,f1,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs,network,letter,Max_or_Min
0,0,1,0,1,0,2,30,1,0.1851681619882584,0.1851681619882584,0.0,0.0,0.0,0.0,4431.0,0.0,1764.0,2062,81.97575187683104,23_C_exp8,23_C.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays1,61,Network 1,C,Min
1,1,1,0,1,0,2,30,7,0.2026916593313217,0.2026916742324829,0.0,0.0,0.0,0.0,30982.0,0.0,12278.0,2056,19.179113149642944,23_C_exp8,23_C.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays7,14,Network 1,C,Min
3,3,1,0,1,0,2,60,7,0.2052222043275833,0.2052222043275833,0.0,0.0,0.0,0.0,30376.0,0.0,12254.0,2026,20.412107467651367,23_C_exp8,23_C.v1.l0.ds1.l_combo0.ds_combo2.idays60.odays7,15,Network 1,C,Min
12,12,1,0,1,0,2,30,1,0.1765660047531128,0.1765660047531128,0.0,0.0,0.0,0.0,4431.0,0.0,1764.0,2062,44.590967416763306,23_C_exp32,23_C.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays1,33,Network 1,C,Min
13,13,1,0,1,0,2,30,7,0.1806570440530777,0.1806570291519165,0.0,0.0,0.0,0.0,30982.0,0.0,12278.0,2056,45.3112895488739,23_C_exp32,23_C.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays7,33,Network 1,C,Min
14,14,1,0,1,0,2,60,1,0.17592039704322815,0.17592039704322815,0.0,0.0,0.0,0.0,4341.0,0.0,1764.0,2032,43.711623907089226,23_C_exp32,23_C.v1.l0.ds1.l_combo0.ds_combo2.idays60.odays1,33,Network 1,C,Min
24,24,1,0,1,0,2,30,1,0.17743970453739166,0.17743970453739166,0.0,0.0,0.0,0.0,4431.0,0.0,1764.0,2062,48.60370993614197,23_C_exp64,23_C.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays1,36,Network 1,C,Min
25,25,1,0,1,0,2,30,7,0.1787850707769394,0.1787850707769394,0.0,0.0,0.0,0.0,30982.0,0.0,12278.0,2056,44.819945096969604,23_C_exp64,23_C.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays7,33,Network 1,C,Min
30,30,1,0,1,0,3,60,1,0.10019197314977646,0.10019197314977646,0.7697297130899592,0.7355371713638306,0.8072562217712402,1424.0,3829.0,512.0,340.0,2032,38.592750787734985,23_C_exp64,23_C.v1.l0.ds1.l_combo0.ds_combo3.idays60.odays1,29,Network 1,C,Max
0,0,1,0,1,0,2,30,1,0.20420938730239868,0.20420938730239868,0.0,0.0,0.0,0.0,4431.0,0.0,1764.0,2062,18.181470155715946,23_F_exp8,23_F.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays1,13,Network 2,F,Min
1,1,1,0,1,0,2,30,7,0.20215673744678492,0.20215673744678492,0.0,0.0,0.0,0.0,30982.0,0.0,12278.0,2056,19.33831572532653,23_F_exp8,23_F.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays7,14,Network 2,F,Min
3,3,1,0,1,0,2,60,7,0.2040211111307144,0.2040211111307144,0.0,0.0,0.0,0.0,30376.0,0.0,12254.0,2026,19.62386918067932,23_F_exp8,23_F.v1.l0.ds1.l_combo0.ds_combo2.idays60.odays7,14,Network 2,F,Min
8,8,1,0,1,0,4,30,1,0.20423996448516848,0.20423996448516848,0.0,0.0,0.0,0.0,4431.0,0.0,1764.0,2062,18.68204259872436,23_F_exp8,23_F.v1.l0.ds1.l_combo0.ds_combo4.idays30.odays1,14,Network 2,F,Min
9,9,1,0,1,0,4,30,7,0.20255355536937714,0.20255352556705475,0.0,0.0,0.0,0.0,30982.0,0.0,12278.0,2056,18.94653272628784,23_F_exp8,23_F.v1.l0.ds1.l_combo0.ds_combo4.idays30.odays7,14,Network 2,F,Min
12,12,1,0,1,0,2,30,1,0.17850200831890106,0.17850200831890106,0.0,0.0,0.0,0.0,4431.0,0.0,1764.0,2062,73.76874804496767,23_F_exp32,23_F.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays1,56,Network 2,F,Min
13,13,1,0,1,0,2,30,7,0.1825963407754898,0.1825963258743286,0.0,0.0,0.0,0.0,30982.0,0.0,12278.0,2056,94.26536846160887,23_F_exp32,23_F.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays7,70,Network 2,F,Min
14,14,1,0,1,0,2,60,1,0.1743697226047516,0.1743697226047516,0.0,0.0,0.0,0.0,4341.0,0.0,1764.0,2032,68.33550858497621,23_F_exp32,23_F.v1.l0.ds1.l_combo0.ds_combo2.idays60.odays1,52,Network 2,F,Min
15,15,1,0,1,0,2,60,7,0.1815448701381684,0.18154484033584595,0.0,0.0,0.0,0.0,30376.0,0.0,12254.0,2026,50.447598695755005,23_F_exp32,23_F.v1.l0.ds1.l_combo0.ds_combo2.idays60.odays7,38,Network 2,F,Min
24,24,1,0,1,0,2,30,1,0.17571623623371124,0.17571623623371124,0.0,0.0,0.0,0.0,4431.0,0.0,1764.0,2062,102.51601791381836,23_F_exp64,23_F.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays1,78,Network 2,F,Min
25,25,1,0,1,0,2,30,7,0.18290430307388306,0.18290431797504425,0.0,0.0,0.0,0.0,30979.0,3.0,12278.0,2056,94.7865617275238,23_F_exp64,23_F.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays7,71,Network 2,F,Min
26,26,1,0,1,0,2,60,1,0.17073974013328552,0.17073974013328552,0.0,0.0,0.0,0.0,4341.0,0.0,1764.0,2032,47.36955213546753,23_F_exp64,23_F.v1.l0.ds1.l_combo0.ds_combo2.idays60.odays1,36,Network 2,F,Min
4,4,1,0,1,0,3,30,1,0.10799223929643632,0.10799223929643632,0.7730478032619066,0.7167070508003235,0.8390022516250609,1480.0,3846.0,585.0,284.0,2062,54.38993406295776,23_Q_exp8,23_Q.v1.l0.ds1.l_combo0.ds_combo3.idays30.odays1,41,Network 2,Q,Max
0,0,1,0,1,0,2,30,1,0.20331232249736786,0.20331232249736786,0.0,0.0,0.0,0.0,4431.0,0.0,1764.0,2062,18.617603540420532,23_AA_exp8,23_AA.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays1,14,Network 3,AA,Min
1,1,1,0,1,0,2,30,7,0.2044142186641693,0.20441420376300806,0.0,0.0,0.0,0.0,30982.0,0.0,12278.0,2056,19.396891593933105,23_AA_exp8,23_AA.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays7,14,Network 3,AA,Min
2,2,1,0,1,0,2,60,1,0.1750749796628952,0.1750749796628952,0.0,0.0,0.0,0.0,4341.0,0.0,1764.0,2032,105.42767453193665,23_AA_exp8,23_AA.v1.l0.ds1.l_combo0.ds_combo2.idays60.odays1,81,Network 3,AA,Min
3,3,1,0,1,0,2,60,7,0.20456154644489288,0.2045615315437317,0.0,0.0,0.0,0.0,30376.0,0.0,12254.0,2026,20.22287106513977,23_AA_exp8,23_AA.v1.l0.ds1.l_combo0.ds_combo2.idays60.odays7,15,Network 3,AA,Min
9,9,1,0,1,0,4,30,7,0.2025367170572281,0.2025367170572281,0.0,0.0,0.0,0.0,30982.0,0.0,12278.0,2056,19.164356231689453,23_AA_exp8,23_AA.v1.l0.ds1.l_combo0.ds_combo4.idays30.odays7,14,Network 3,AA,Min
12,12,1,0,1,0,2,30,1,0.18093609809875488,0.18093609809875488,0.0,0.0,0.0,0.0,4431.0,0.0,1764.0,2062,93.82071661949158,23_AA_exp32,23_AA.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays1,70,Network 3,AA,Min
13,13,1,0,1,0,2,30,7,0.1800183206796646,0.1800183206796646,0.0,0.0,0.0,0.0,30982.0,0.0,12278.0,2056,58.877637147903435,23_AA_exp32,23_AA.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays7,44,Network 3,AA,Min
14,14,1,0,1,0,2,60,1,0.18820561468601227,0.18820561468601227,0.0,0.0,0.0,0.0,4341.0,0.0,1764.0,2032,64.89763188362122,23_AA_exp32,23_AA.v1.l0.ds1.l_combo0.ds_combo2.idays60.odays1,50,Network 3,AA,Min
