,Slate,Model Letter,Network,Separation_Scheme,Mean Metric,Best Metric,Best Input Days,Best Output Days,Best Base
0,23,A,1,4,0.7531581533280468,0.7838555511996195,60,1,32
1,23,B,1,3,0.5009011342078457,0.5249969820853811,30,7,8
2,23,C,1,2,0.5094229838001395,0.6048929742068729,60,1,8
3,23,F,2,2,0.4289370493814407,0.5149739763910635,60,1,8
4,23,G,2,4,0.7532202822926152,0.7827992568281168,60,1,32
5,23,J,2,3,0.4241920879393721,0.4571785834990843,60,1,8
6,23,M,2,3,0.4213457894633426,0.461529628890601,30,7,64
7,23,N,2,4,0.7536271638859389,0.792238049068927,60,1,8
8,23,Q,2,2,0.4368978346009314,0.4995113842936424,30,1,64
9,23,T,3,4,0.7527898050442917,0.7819134373442863,60,1,32
10,23,V,3,3,0.4286391998674288,0.4863307909480695,60,7,32
11,23,W,3,4,0.7434489701105451,0.7841319098190358,30,1,8
12,23,Y,3,4,0.7339266712082798,0.7818652808390041,60,1,8
13,23,AA,3,2,0.4421501823113621,0.4949933084786455,30,1,32
14,23,AB,3,4,0.7465562331597454,0.766378871802865,30,1,8
15,23,AD,4,4,0.7214346858398814,0.78945968795452,60,1,32
