,letter,mean base 8,mean base 32,mean base 64
0,C,0.5191147899938359,0.5017021120558104,0.5074520493507724
1,F,0.35838322622873947,0.4706013976980627,0.4578265242175196
2,Q,0.41121738606015334,0.47247955053480695,0.4269965672078342
3,AA,0.3960248741858259,0.4785702721554492,0.45185540059281143
4,B,0.5115264645688108,0.5037654203182987,0.48741151773642716
5,J,0.4226894789362585,0.4206217344070308,0.42926505047482694
6,M,0.4366302626342902,0.4071884219802025,0.42021868377553523
7,V,0.4270880213223178,0.4414482265943847,0.41738135168558393
8,A,0.7464888972529757,0.7587023589202684,0.7542832038108968
9,G,0.7511644364197154,0.7672704179725426,0.7412259924855873
10,N,0.7604878550201073,0.7619666428367807,0.7384269938009287
11,T,0.766552922447083,0.7556057233533576,0.7362107693324347
12,W,0.7437206362414213,0.7609578237659221,0.7256684503242921
13,Y,0.7583974140566598,0.7536015909733795,0.6897810085947996
14,AB,0.758561231952867,0.7454472599160213,0.7356602076103484
15,AD,0.747029700471772,0.7480176173562895,0.6692567396915827
