,letter,input_days,output_days,experiment_name,weighted_metric,mean_metric,min_or_max
4,C,30,7,23_C_exp32,0.4737647406802799,0.5094229838001395,Min
6,C,60,1,23_C_exp8,0.6048929742068729,0.5094229838001395,Max
0,F,30,1,23_F_exp8,0.2238805928581885,0.42893704938144067,Min
6,F,60,1,23_F_exp8,0.5149739763910635,0.42893704938144067,Max
3,Q,30,7,23_Q_exp8,0.2434569131861231,0.4368978346009314,Min
2,Q,30,1,23_Q_exp64,0.4995113842936424,0.4368978346009314,Max
3,AA,30,7,23_AA_exp8,0.24522256447372026,0.4421501823113621,Min
1,AA,30,1,23_AA_exp32,0.4949933084786455,0.4421501823113621,Max
11,B,60,7,23_B_exp64,0.4659481810141307,0.5009011342078457,Min
3,B,30,7,23_B_exp8,0.5249969820853811,0.5009011342078457,Max
9,J,60,7,23_J_exp8,0.3925496549574224,0.4241920879393721,Min
6,J,60,1,23_J_exp8,0.4571785834990843,0.4241920879393721,Max
11,M,60,7,23_M_exp64,0.3392125620263705,0.4213457894633426,Min
5,M,30,7,23_M_exp64,0.461529628890601,0.4213457894633426,Max
3,V,30,7,23_V_exp8,0.3723818171271421,0.42863919986742877,Min
10,V,60,7,23_V_exp32,0.4863307909480695,0.42863919986742877,Max
3,A,30,7,23_A_exp8,0.7287282133647259,0.7531581533280468,Min
7,A,60,1,23_A_exp32,0.7838555511996195,0.7531581533280468,Max
5,G,30,7,23_G_exp64,0.7189959433948628,0.7532202822926152,Min
7,G,60,1,23_G_exp32,0.7827992568281168,0.7532202822926152,Max
11,N,60,7,23_N_exp64,0.7227464154293329,0.7536271638859389,Min
6,N,60,1,23_N_exp8,0.792238049068927,0.7536271638859389,Max
11,T,60,7,23_T_exp64,0.6971559790071493,0.7527898050442917,Min
7,T,60,1,23_T_exp32,0.7819134373442863,0.7527898050442917,Max
3,W,30,7,23_W_exp8,0.6676348818836941,0.7434489701105451,Min
0,W,30,1,23_W_exp8,0.7841319098190358,0.7434489701105451,Max
8,Y,60,1,23_Y_exp64,0.4683084245143278,0.7339266712082798,Min
6,Y,60,1,23_Y_exp8,0.7818652808390041,0.7339266712082798,Max
4,AB,30,7,23_AB_exp32,0.7024437935403846,0.7465562331597454,Min
0,AB,30,1,23_AB_exp8,0.766378871802865,0.7465562331597454,Max
8,AD,60,1,23_AD_exp64,0.4415395664656461,0.7214346858398814,Min
7,AD,60,1,23_AD_exp32,0.78945968795452,0.7214346858398814,Max
