,letter,stdev base 8,stdev base 32,stdev base 64
0,C,0.3279369668202475,0.3336463283460303,0.32849258176820484
1,F,0.3578077182002302,0.3487612337306842,0.3383136191296842
2,Q,0.3654856251921919,0.3522154241926039,0.35263933330426794
3,AA,0.35466249948397455,0.3548401774424848,0.3450510908802228
4,B,0.2991562576658921,0.30101399551159025,0.31492524815387507
5,J,0.32112809479905363,0.31377008096044623,0.3096965545974907
6,M,0.32664564912980326,0.31721495719213466,0.3200107000831252
7,V,0.332036289158506,0.3065095947157024,0.3050809668631376
8,A,0.01492633316414191,0.01750457280923486,0.01149175740299868
9,G,0.005040159758920137,0.010599329756103677,0.015274207793591737
10,N,0.02792619421762976,0.012391138589968494,0.011740613257746788
11,T,0.00784634109188602,0.021448227386391988,0.02884028241019979
12,W,0.05216394435144108,0.012657251175520292,0.03255931011509768
13,Y,0.03356039283704043,0.020548462922614096,0.14818397612690237
14,AB,0.007612225948965455,0.029069617715356794,0.015190757797214908
15,AD,0.01771481142520063,0.02878276200043238,0.1519092331783436
