,Unnamed: 0,version,location_scheme,datastream_scheme,l_combo,ds_combo,input_days,output_days,loss,mse,f1,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs,network,letter,Max_or_Min
1,1,1,0,0,0,0,30,7,0.108443945646286,0.1084439381957054,0.7287282133647259,0.738541305065155,0.719172477722168,8830.0,27856.0,3126.0,3448.0,2056,35.362633466720574,23_A_exp8,23_A.v1.l0.ds0.l_combo0.ds_combo0.idays30.odays7,26,Network 1,A,Min
6,6,1,0,0,0,0,60,1,0.0966016873717308,0.0966016873717308,0.7838555511996195,0.7372627258300781,0.8367347121238708,1476.0,3815.0,526.0,288.0,2032,33.71932935714722,23_A_exp32,23_A.v1.l0.ds0.l_combo0.ds_combo0.idays60.odays1,25,Network 1,A,Max
9,9,1,0,0,0,0,30,7,0.10908348858356476,0.10908349603414537,0.7189959433948628,0.7526498436927795,0.6882228255271912,8450.0,28205.0,2777.0,3828.0,2056,41.70097041130065,23_G_exp64,23_G.v1.l0.ds0.l_combo0.ds_combo0.idays30.odays7,31,Network 2,G,Min
2,2,1,0,0,0,0,60,1,0.1019410640001297,0.1019410640001297,0.792238049068927,0.7287006378173828,0.8679138422012329,1531.0,3771.0,570.0,233.0,2032,72.87076663970947,23_N_exp8,23_N.v1.l0.ds0.l_combo0.ds_combo0.idays60.odays1,55,Network 2,N,Max
10,10,1,0,0,0,0,60,1,0.1433284729719162,0.1433284729719162,0.4683084245143278,0.8134642243385315,0.3287981748580933,580.0,4208.0,133.0,1184.0,2032,17.66666316986084,23_Y_exp64,23_Y.v1.l0.ds0.l_combo0.ds_combo0.idays60.odays1,13,Network 3,Y,Min
0,0,1,0,0,0,0,30,1,0.10693660378456116,0.10693660378456116,0.7841319098190358,0.7186024785041809,0.862811803817749,1522.0,3835.0,596.0,242.0,2062,45.54651069641113,23_W_exp8,23_W.v1.l0.ds0.l_combo0.ds_combo0.idays30.odays1,34,Network 3,W,Max
10,10,1,0,0,0,0,60,1,0.14961397647857666,0.14961397647857666,0.4415395664656461,0.6141414046287537,0.3446711897850037,608.0,3959.0,382.0,1156.0,2032,23.84192395210266,23_AD_exp64,23_AD.v1.l0.ds0.l_combo0.ds_combo0.idays60.odays1,18,Network 4,AD,Min
6,6,1,0,0,0,0,60,1,0.09913405776023863,0.09913405776023863,0.78945968795452,0.7441043853759766,0.8407029509544373,1483.0,3831.0,510.0,281.0,2032,47.293375968933105,23_AD_exp32,23_AD.v1.l0.ds0.l_combo0.ds_combo0.idays60.odays1,36,Network 4,AD,Max
